date,ic,rank_ic
2025-09-26,,
2025-09-29,,
2025-09-30,,
2025-10-09,,
2025-10-10,,
2025-10-13,,
2025-10-14,,
2025-10-15,,
2025-10-16,,
2025-10-17,,
2025-10-20,,
2025-10-21,,
2025-10-22,,
2025-10-23,,
2025-10-24,,
2025-10-27,,
2025-10-28,,
2025-10-29,,
2025-10-30,,
2025-10-31,,
2025-11-03,-0.14123863488486307,-0.14451832825401997
2025-11-04,-0.22039130035283885,-0.2983930050072846
2025-11-05,,
2025-11-06,,
2025-11-07,,
2025-11-10,,
2025-11-11,-0.17477897819025043,-0.2983930050072846
2025-11-12,-0.17280940354266777,-0.2983930050072846
2025-11-13,-0.16861516432986146,-0.2983930050072846
2025-11-14,-0.15947586995588475,-0.2983930050072846
2025-11-17,-0.15952255591953807,-0.2983930050072846
2025-11-18,-0.14891183800801563,-0.2586072710063133
2025-11-19,-0.15634784031682297,-0.2586072710063133
2025-11-20,-0.14300672571025608,-0.2586072710063133
2025-11-21,-0.09682016219323905,-0.21882153700534204
2025-11-24,-0.0862264795528359,-0.21882153700534204
2025-11-25,-0.10040822650024166,-0.21882153700534204
2025-11-26,-0.09879777457757243,-0.21882153700534204
2025-11-27,-0.09503825083544258,-0.21882153700534204
2025-11-28,-0.1095272533009525,-0.2586072710063133
2025-12-01,-0.1055652887473176,-0.2586072710063133
2025-12-02,-0.12521410048034265,-0.2983930050072846
2025-12-03,-0.1093301307801267,-0.2586072710063133
2025-12-04,-0.1039884129158832,-0.2586072710063133
2025-12-05,-0.09101084818000876,-0.21882153700534204
2025-12-08,-0.08522318679861975,-0.21882153700534204
2025-12-09,,
2025-12-10,,
2025-12-11,,
2025-12-12,,
2025-12-15,,
2025-12-16,,
2025-12-17,,
2025-12-18,,
2025-12-19,,
2025-12-22,,
2025-12-23,,
2025-12-24,,
2025-12-25,-0.18129133626820718,-0.17903580300437075
2025-12-26,0.08598287458522148,0.115614662603216
2025-12-29,0.11019942507804556,0.14451832825401997
2025-12-30,0.09848270894534565,0.14451832825401997
2025-12-31,0.08790594659389718,0.115614662603216
2026-01-05,0.054249919674361755,0.086710996952412
2026-01-06,0.020518964781121335,0.028903665650804
2026-01-07,0.019420920242373185,0.028903665650804
2026-01-08,0.0021570080262176884,0.0
