date,close,P_fund,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid,disagreement,deviation,ret5,vol_abs5,td_sign,td_flip,gmm_state_proxy,q_med,q_high,q_neutral,q_vol,vol_anomaly,signal_dir,main_trigger,aux_confirm,position_size,open_signal,position
2023-09-15,170100.0,170100.0,0.0,0.0,0.0,156532500.0,7.124576406741287e-218,1.0,475.0,-1.0,1,,,,,1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
2023-09-18,167150.0,167150.0,0.0,-1475.0,0.0,156983750.0,7.124576406741287e-218,1.0,-1475.0,-1.0,1,,,,,-1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
2023-09-19,159400.0,159400.0,0.0,-3875.0,0.0,146755000.0,7.124576406741287e-218,1.0,-3875.0,-1.0,1,,,,,-1.0,False,0,,,,,False,-1,False,False,0.0,False,0.0
2023-09-20,154150.0,154150.0,0.0,-2625.0,0.0,172725000.0,7.124576406741287e-218,1.0,-2625.0,-1.0,1,,,,,-1.0,False,0,,,,,False,-1,False,False,0.0,False,0.0
2023-09-21,159950.0,159950.0,0.0,2900.0,0.0,185061250.0,7.124576406741287e-218,1.0,2900.0,-1.0,1,,,,,1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
2023-09-22,156150.0,156150.0,0.0,-1900.0,0.0,201730000.0,7.124576406741287e-218,1.0,-1900.0,-1.0,1,,,-0.0855694156727278,0.0855694156727278,-1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
2023-09-25,158750.0,158750.0,0.0,1300.0,0.0,195430000.0,7.124576406741287e-218,1.0,1300.0,-1.0,1,,,-0.05156097509330593,0.05156097509330593,1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
2023-09-26,149100.0,149100.0,0.0,-4825.0,0.0,160528750.0,7.124576406741287e-218,1.0,-4825.0,-1.0,1,,,-0.06679954458542348,0.06679954458542348,-1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
2023-09-27,148450.0,148450.0,0.0,-325.0,0.0,206728750.0,7.124576406741287e-218,1.0,-325.0,-1.0,1,,,-0.037677953122390306,0.037677953122390306,-1.0,False,0,,,,,False,-1,False,False,0.0,False,0.0
2023-09-28,150000.0,150000.0,0.0,775.0,0.0,206908750.0,7.124576406741287e-218,1.0,775.0,-1.0,1,,,-0.06422597229927085,0.06422597229927085,1.0,True,0,,,,,False,-1,False,True,0.0,False,0.0
