metric,oneshot,rolling
annual_return,0.28862909717477203,0.3404575841692723
sharpe,2.092271308070871,2.2929095178077206
max_drawdown,-0.06830073619489901,-0.06830073619489953
calmar,4.225856312165608,4.984683960034629
total_return,0.8907816066237855,1.0876597952249898
n_trades,129.0,135.0
ic,0.1963886191100946,0.21907380545869326
ic_rank,0.1885473032011553,0.21292970590803412
