date,IC_roll,dev_median,dev_mean,dev_p90,alpha_cv_roll,beta_cv_roll
2024-02-01,,,,,,
2024-02-02,,,,,,
2024-02-05,,,,,,
2024-02-06,,,,,,
2024-02-07,,,,,,
2024-02-08,,,,,,
2024-02-19,,,,,,
2024-02-20,,,,,,
2024-02-21,,,,,,
2024-02-22,,,,,,
2024-02-23,,,,,,
2024-02-26,,,,,,
2024-02-27,,,,,,
2024-02-28,,,,,,
2024-02-29,,,,,,
2024-03-01,,,,,,
2024-03-04,,,,,,
2024-03-05,,,,,,
2024-03-06,,,,,,
2024-03-07,,,,,,
2024-03-08,,,,,,
2024-03-11,,,,,,
2024-03-12,,,,,,
2024-03-13,,,,,,
2024-03-14,,,,,,
2024-03-15,,,,,,
2024-03-18,,,,,,
2024-03-19,,,,,,
2024-03-20,,,,,,
2024-03-21,,,,,,
2024-03-22,,,,,,
2024-03-25,,,,,,
2024-03-26,,,,,,
2024-03-27,,,,,,
2024-03-28,,,,,,
2024-03-29,,,,,,
2024-04-01,,,,,,
2024-04-02,,,,,,
2024-04-03,,,,,,
2024-04-08,,,,,,
2024-04-09,,,,,,
2024-04-10,,,,,,
2024-04-11,,,,,,
2024-04-12,,,,,,
2024-04-15,,,,,,
2024-04-16,,,,,,
2024-04-17,,,,,,
2024-04-18,,,,,,
2024-04-19,,,,,,
2024-04-22,,,,,,
2024-04-23,,,,,,
2024-04-24,,,,,,
2024-04-25,,,,,,
2024-04-26,,,,,,
2024-04-29,,,,,,
2024-04-30,,,,,,
2024-05-06,,,,,,
2024-05-07,,,,,,
2024-05-08,,,,,,
2024-05-09,,0.3986754966887417,0.393177711056793,0.7026304870965064,0.0,0.0
2024-05-10,0.061548411506497994,0.39999999999999997,0.3966705777375155,0.7026304870965064,0.0,0.0
2024-05-13,0.061548411506497994,0.39999999999999997,0.3937116572254035,0.7026304870965064,0.0,0.0
2024-05-14,0.061548411506497994,0.4013422818791946,0.39745812015692583,0.7026304870965064,0.0,0.0
2024-05-15,0.061548411506497994,0.4013422818791946,0.3976851500714558,0.7026304870965064,0.0,0.0
2024-05-16,0.06386843579422871,0.41471807805753846,0.39861210960042465,0.7026304870965064,0.0,0.0
2024-05-17,0.07299066473256337,0.4292031343078403,0.4076300205622777,0.7026304870965064,0.0,0.0
2024-05-20,0.06771166553646531,0.4292031343078403,0.4054192334458302,0.7026304870965064,0.0,0.0
2024-05-21,0.06813202982094207,0.4292031343078403,0.4056484001124969,0.7026304870965064,0.0,0.0
2024-05-22,0.06398452518491175,0.41471807805753846,0.39482188267814483,0.7026304870965064,0.0,0.0
2024-05-23,0.060286450930088865,0.4013422818791946,0.3883948674276001,0.7026304870965064,0.0,0.0
2024-05-24,0.046916661068512264,0.4013422818791946,0.3851288400684165,0.6682868821999257,0.0,0.0
2024-05-27,0.048065169583864205,0.4013422818791946,0.3836279019821126,0.6682868821999257,0.0,0.0
2024-05-28,0.026650494596252794,0.39999999999999997,0.3744792728334834,0.64699604743083,0.0,0.0
2024-05-29,0.00963218361754541,0.3986754966887417,0.3689704450695977,0.64699604743083,0.0,0.0
2024-05-30,0.008437025273541862,0.395858595280291,0.35937001975200855,0.6341657077100116,0.0,0.0
2024-05-31,0.007123082703747314,0.395858595280291,0.359711730510386,0.6341657077100116,0.0,0.0
2024-06-03,0.021071865423260564,0.3986754966887417,0.3630385495393928,0.6341657077100116,0.0,0.0
2024-06-04,0.026642333830894187,0.395858595280291,0.3530652875073072,0.6080279813457694,0.0,0.0
2024-06-05,0.02522963451733385,0.395858595280291,0.3518377441745007,0.6080279813457694,0.0,0.0
2024-06-06,0.0357722003427659,0.3986754966887417,0.36036487595744643,0.6080279813457694,0.0,0.0
2024-06-07,0.035016384249472385,0.3986754966887417,0.35936908759657543,0.6080279813457694,0.0,0.0
2024-06-11,0.009083289587633754,0.3986754966887417,0.3591472686814716,0.6045073554567225,0.0,0.0
2024-06-12,-0.023275601793727906,0.3986754966887417,0.3569899187849913,0.5928937558247904,0.0,0.0
2024-06-13,-0.012730883640016037,0.3986754966887417,0.35593519046733196,0.5928937558247904,0.0,0.0
2024-06-14,0.0028571937467207287,0.395858595280291,0.3447202597608758,0.5854665887395285,0.0,0.0
2024-06-17,-0.004513771916551256,0.3880227932480379,0.3380643846894609,0.57684246112238,0.0,0.0
2024-06-18,-0.00923612511466843,0.3880227932480379,0.3397176717025901,0.5871283631927054,0.0,0.0
2024-06-19,-0.0032540016213324727,0.3880227932480379,0.3409213754062938,0.5871283631927054,0.0,0.0
2024-06-20,-0.00161538282214638,0.3794624491475066,0.33581194779686624,0.5871283631927054,0.0,0.0
2024-06-21,-0.001601488372629872,0.3880227932480379,0.34311461932084925,0.5871283631927054,0.0,0.0
2024-06-24,-0.004442752067034136,0.3880227932480379,0.34563946123593503,0.5928937558247904,0.0,0.0
2024-06-25,-0.03983654901157417,0.3880227932480379,0.3425002736612636,0.5871283631927054,0.0,0.0
2024-06-26,-0.03693614785523233,0.3880227932480379,0.34703731069830057,0.5928937558247904,0.0,0.0
2024-06-27,-0.03720745340449414,0.395858595280291,0.35595265461364456,0.6034384384384385,0.0,0.0
2024-06-28,-0.03585007095857407,0.395858595280291,0.35505662078453987,0.6034384384384385,0.0,0.0
2024-07-01,-0.02967455036727424,0.4000177785679363,0.3590786115252806,0.6034384384384385,0.0,0.0
2024-07-02,-0.08617756621426345,0.395858595280291,0.3512362342642987,0.5928937558247904,0.0,0.0
2024-07-03,-0.04869550771655374,0.395858595280291,0.3515425020705665,0.5928937558247904,0.0,0.0
