open_date,open_close,open_disagreement,open_deviation,open_q_med,open_q_high,open_q_neutral,open_signal_dir,open_aux_confirm,close_date,close_close,close_disagreement,close_deviation,close_q_med,close_q_high,close_q_neutral,close_signal_dir,close_aux_confirm,direction,size,hold_days,gross_ret,net_ret,exit_reason,close_logic
2024-04-01,112600.0,0.899225,0.899225,0.818526,0.892339,0.338604,1,True,2024-04-02,111000.0,-0.338462,0.338462,0.815534,0.892025,0.338462,-1,True,1,1.0,1,-0.01421,-0.01721,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2024-08-14,73450.0,-0.838889,0.838889,0.738462,0.838889,0.317073,-1,True,2024-08-15,72400.0,-0.244444,0.244444,0.735668,0.837721,0.316303,-1,False,-1,0.6,1,0.014295,0.011295,neutral_revert,偏离度 dev=0.2444 < 中性分位 q_neutral=0.3163 → 博弈修复完成
2024-09-02,75200.0,-0.922222,0.922222,0.745017,0.841187,0.32958,-1,True,2024-09-03,74900.0,-0.016667,0.016667,0.74408,0.840859,0.328672,-1,False,-1,1.0,1,0.003989,0.000989,neutral_revert,偏离度 dev=0.0167 < 中性分位 q_neutral=0.3287 → 博弈修复完成
2024-09-05,70750.0,-0.794444,0.794444,0.748696,0.840202,0.329892,-1,True,2024-09-06,71200.0,0.205556,0.205556,0.748478,0.839874,0.32897,1,True,-1,0.6,1,-0.00636,-0.00936,neutral_revert,偏离度 dev=0.2056 < 中性分位 q_neutral=0.3290 → 博弈修复完成
2024-09-11,78450.0,0.972222,0.972222,0.752027,0.846039,0.328672,1,True,2024-09-12,76950.0,-0.494444,0.494444,0.752027,0.846039,0.330204,-1,True,1,1.0,1,-0.01912,-0.02212,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2024-09-24,76800.0,0.766667,0.766667,0.751667,0.846039,0.328672,1,True,2024-09-25,76250.0,-0.105556,0.105556,0.751667,0.846039,0.328672,-1,True,1,0.6,1,-0.007161,-0.010161,neutral_revert,偏离度 dev=0.1056 < 中性分位 q_neutral=0.3287 → 博弈修复完成
2024-09-30,79750.0,0.861111,0.861111,0.767027,0.857341,0.323496,1,True,2024-10-08,76650.0,-0.85,0.85,0.772688,0.857341,0.328672,-1,True,1,1.0,1,-0.038871,-0.041871,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2024-11-11,80950.0,0.95,0.95,0.794444,0.857341,0.345192,1,True,2024-11-12,81150.0,0.105556,0.105556,0.794444,0.857341,0.341635,1,False,1,1.0,1,0.002471,-0.000529,neutral_revert,偏离度 dev=0.1056 < 中性分位 q_neutral=0.3416 → 博弈修复完成
2024-11-13,86500.0,0.95,0.95,0.795556,0.8625,0.345192,1,True,2024-11-14,81000.0,-0.961111,0.961111,0.806188,0.889203,0.348462,-1,True,1,1.0,1,-0.063584,-0.066584,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2024-11-18,80950.0,0.85,0.85,0.806553,0.889203,0.348462,1,True,2024-11-20,82700.0,0.027778,0.027778,0.800556,0.889203,0.345192,1,False,1,0.6,2,0.021618,0.018618,neutral_revert,偏离度 dev=0.0278 < 中性分位 q_neutral=0.3452 → 博弈修复完成
2024-12-20,77880.0,0.938889,0.938889,0.771577,0.850556,0.277639,1,True,2024-12-23,77180.0,-0.222222,0.222222,0.771577,0.850556,0.277639,-1,True,1,1.0,1,-0.008988,-0.011988,neutral_revert,偏离度 dev=0.2222 < 中性分位 q_neutral=0.2776 → 博弈修复完成
2024-12-30,78320.0,0.805556,0.805556,0.771577,0.85,0.272222,1,True,2024-12-31,77100.0,-0.505556,0.505556,0.771577,0.85,0.272222,-1,True,1,0.6,1,-0.015577,-0.018577,gmm_transition,"GMM状态代理 入场=2 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-05-14,65200.0,0.894444,0.894444,0.784444,0.85,0.238889,1,True,2025-05-15,64120.0,-0.627778,0.627778,0.784444,0.85,0.238889,-1,True,1,1.0,1,-0.016564,-0.019564,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2025-06-27,63300.0,0.888889,0.888889,0.773333,0.85,0.242222,1,True,2025-06-30,62260.0,-0.627778,0.627778,0.773333,0.85,0.242222,-1,True,1,1.0,1,-0.01643,-0.01943,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2025-07-17,67960.0,0.861111,0.861111,0.751111,0.850556,0.242222,1,True,2025-07-22,72880.0,0.861111,0.861111,0.795,0.862222,0.242222,1,True,1,1.0,3,0.072396,0.069396,gmm_transition,"GMM状态代理 入场=2 → 当日=3 (∈{0,1,3}) → 环境变更"
2025-07-23,69380.0,-0.983333,0.983333,0.8,0.883611,0.242222,-1,True,2025-07-24,76680.0,0.994444,0.994444,0.800556,0.889167,0.242222,1,True,-1,1.0,1,-0.105218,-0.108218,reverse_signal,方向翻转: 入场dir=-1 → 当日signal_dir=1 ≠0 → 逻辑失效
2025-07-25,80520.0,0.95,0.95,0.805556,0.896667,0.242222,1,True,2025-07-28,73120.0,-0.994444,0.994444,0.807778,0.938889,0.242222,-1,True,1,1.0,1,-0.091903,-0.094903,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2025-07-31,68280.0,-0.933333,0.933333,0.85,0.938889,0.242222,-1,True,2025-08-01,68920.0,0.555556,0.555556,0.85,0.938889,0.242222,1,True,-1,0.6,1,-0.009373,-0.012373,reverse_signal,方向翻转: 入场dir=-1 → 当日signal_dir=1 ≠0 → 逻辑失效
2025-08-06,69620.0,0.883333,0.883333,0.85,0.933611,0.242222,1,True,2025-08-14,85300.0,0.3,0.3,0.861111,0.938889,0.247778,1,True,1,0.6,6,0.225223,0.222223,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-08-18,89240.0,0.916667,0.916667,0.863333,0.938889,0.256667,1,True,2025-08-19,87540.0,-0.894444,0.894444,0.883333,0.938889,0.256667,-1,True,1,0.6,1,-0.01905,-0.02205,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2025-08-22,78960.0,-0.972222,0.972222,0.889444,0.95,0.261111,-1,True,2025-08-25,79380.0,0.45,0.45,0.889444,0.95,0.264444,1,True,-1,1.0,1,-0.005319,-0.008319,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-09-02,72620.0,-0.95,0.95,0.894444,0.95,0.281111,-1,True,2025-09-03,71880.0,-0.516667,0.516667,0.894444,0.95,0.293333,-1,True,-1,0.6,1,0.01019,0.00719,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-10-27,81900.0,0.916667,0.916667,0.906667,0.95,0.381111,1,True,2025-10-28,81640.0,-0.233333,0.233333,0.906667,0.95,0.381111,-1,True,1,0.6,1,-0.003175,-0.006175,neutral_revert,偏离度 dev=0.2333 < 中性分位 q_neutral=0.3811 → 博弈修复完成
2025-10-31,80780.0,-0.938889,0.938889,0.916667,0.95,0.392222,-1,True,2025-11-03,82280.0,0.738889,0.738889,0.916667,0.95,0.394444,1,True,-1,0.6,1,-0.018569,-0.021569,reverse_signal,方向翻转: 入场dir=-1 → 当日signal_dir=1 ≠0 → 逻辑失效
2025-11-04,78560.0,-0.961111,0.961111,0.917778,0.95,0.394444,-1,True,2025-11-05,79140.0,0.483333,0.483333,0.917778,0.95,0.394444,1,True,-1,1.0,1,-0.007383,-0.010383,gmm_transition,"GMM状态代理 入场=2 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-11-17,95200.0,0.994444,0.994444,0.928333,0.961667,0.412222,1,True,2025-11-18,93520.0,-0.827778,0.827778,0.928333,0.961667,0.416667,-1,True,1,1.0,1,-0.017647,-0.020647,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2025-11-19,99300.0,0.972222,0.972222,0.933889,0.972222,0.42,1,True,2025-11-20,98980.0,-0.288889,0.288889,0.933889,0.972222,0.42,-1,True,1,1.0,1,-0.003223,-0.006223,neutral_revert,偏离度 dev=0.2889 < 中性分位 q_neutral=0.4200 → 博弈修复完成
2025-11-25,95400.0,0.95,0.95,0.94,0.972222,0.431111,1,True,2025-11-26,96340.0,0.5,0.5,0.94,0.972222,0.433333,1,False,1,0.6,1,0.009853,0.006853,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-12-17,108620.0,0.994444,0.994444,0.95,0.972778,0.467778,1,True,2025-12-18,106160.0,-0.894444,0.894444,0.95,0.972778,0.467778,-1,True,1,1.0,1,-0.022648,-0.025648,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2025-12-23,120360.0,0.961111,0.961111,0.95,0.972778,0.492222,1,True,2025-12-25,123520.0,-0.716667,0.716667,0.95,0.972778,0.497778,-1,True,1,0.6,2,0.026255,0.023255,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2025-12-26,130520.0,0.961111,0.961111,0.95,0.972778,0.503333,1,True,2025-12-29,118820.0,-0.994444,0.994444,0.95,0.983333,0.503333,-1,True,1,0.6,1,-0.089641,-0.092641,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2026-01-05,129980.0,0.994444,0.994444,0.95,0.983333,0.512222,1,True,2026-01-08,145000.0,0.75,0.75,0.951111,0.983333,0.527778,1,True,1,1.0,3,0.115556,0.112556,gmm_transition,"GMM状态代理 入场=3 → 当日=1 (∈{0,1,3}) → 环境变更"
2026-01-12,156060.0,0.994444,0.994444,0.961111,0.983333,0.534444,1,True,2026-01-14,161940.0,-0.95,0.95,0.961111,0.983333,0.538889,-1,True,1,1.0,2,0.037678,0.034678,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
2026-01-16,146200.0,-0.994444,0.994444,0.962222,0.983889,0.534444,-1,True,2026-01-19,147260.0,0.372222,0.372222,0.962222,0.983889,0.534444,1,True,-1,1.0,1,-0.00725,-0.01025,neutral_revert,偏离度 dev=0.3722 < 中性分位 q_neutral=0.5344 → 博弈修复完成
2026-01-23,181520.0,0.983333,0.983333,0.972222,0.994444,0.542222,1,True,2026-01-26,165680.0,-0.983333,0.983333,0.972222,0.994444,0.551111,-1,True,1,0.6,1,-0.087263,-0.090263,reverse_signal,方向翻转: 入场dir=1 → 当日signal_dir=-1 ≠0 → 逻辑失效
