date,position,close,price_ret,strat_ret,cost_ret,net_ret,equity
2024-02-01,0.0,99600.0,0.0,0.0,0.0,0.0,1.0
2024-02-02,0.0,100150.0,0.005522,0.0,0.0,0.0,1.0
2024-02-05,0.0,100450.0,0.002996,0.0,0.0,0.0,1.0
2024-02-06,0.0,97150.0,-0.032852,-0.0,0.0,-0.0,1.0
2024-02-07,0.0,97650.0,0.005147,0.0,0.0,0.0,1.0
2024-02-08,0.0,96300.0,-0.013825,-0.0,0.0,-0.0,1.0
2024-02-19,0.0,94750.0,-0.016096,-0.0,0.0,-0.0,1.0
2024-02-20,0.0,92800.0,-0.02058,-0.0,0.0,-0.0,1.0
2024-02-21,0.0,96900.0,0.044181,0.0,0.0,0.0,1.0
2024-02-22,0.0,97650.0,0.00774,0.0,0.0,0.0,1.0
2024-02-23,1.0,101800.0,0.042499,0.042499,0.003,0.039499,1.039499
2024-02-26,1.0,102300.0,0.004912,0.004912,0.0,0.004912,1.044604
2024-02-27,1.0,106650.0,0.042522,0.042522,0.0,0.042522,1.089023
2024-02-28,1.0,108000.0,0.012658,0.012658,0.0,0.012658,1.102808
2024-02-29,0.5,119200.0,0.103704,0.051852,0.0015,0.050352,1.158337
2024-03-01,1.0,119450.0,0.002097,0.002097,0.0015,0.000597,1.159028
2024-03-04,1.0,117600.0,-0.015488,-0.015488,0.0,-0.015488,1.141078
2024-03-05,0.5,111550.0,-0.051446,-0.025723,0.0015,-0.027223,1.110014
2024-03-06,0.5,114000.0,0.021963,0.010982,0.0,0.010982,1.122204
2024-03-07,1.0,113000.0,-0.008772,-0.008772,0.0015,-0.010272,1.110677
2024-03-08,1.0,113350.0,0.003097,0.003097,0.0,0.003097,1.114117
2024-03-11,1.0,116400.0,0.026908,0.026908,0.0,0.026908,1.144096
2024-03-12,1.0,119850.0,0.029639,0.029639,0.0,0.029639,1.178006
2024-03-13,1.0,118800.0,-0.008761,-0.008761,0.0,-0.008761,1.167685
2024-03-14,0.5,112100.0,-0.056397,-0.028199,0.0015,-0.029699,1.133007
