date,close,P_fund,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2024-03-25,107400.0,107400.0,0.0,-3475.0,0.0,145428750.0,7.124576406741287e-218,1.0,-3475.0,-1.0,1
2024-03-26,108400.0,108400.0,0.0,500.0,0.0,169455000.0,7.124576406741287e-218,1.0,500.0,-1.0,1
2024-03-27,108400.0,108400.0,0.0,0.0,0.0,160493750.0,7.124576406741287e-218,1.0,0.0,-1.0,1
2024-03-28,108500.0,108500.0,0.0,50.0,0.0,159582500.0,7.124576406741287e-218,1.0,50.0,-1.0,1
2024-03-29,107050.0,107050.0,0.0,-725.0,0.0,96867500.0,7.124576406741287e-218,1.0,-725.0,-1.0,1
2024-04-01,112600.0,112600.0,0.0,2775.0,0.0,97887500.0,7.124576406741287e-218,1.0,2775.0,-1.0,1
2024-04-02,111000.0,111000.0,0.0,-800.0,0.0,111577500.0,7.124576406741287e-218,1.0,-800.0,-1.0,1
