预测器,窗口数,mean_IC,std_IC,t值,p值,Bonferroni显著
基准1_单库存,29,0.20275140105816242,0.2305743611342856,4.735347435007054,5.7175402264242337e-05,True
基准2_全局等权,29,0.2659256381482662,0.18881833719984256,7.584291913105682,2.9172043669589698e-08,True
交互项_仓单交叉×D1,10,0.172691642385775,0.10759270632332181,5.07561285031038,0.0006667827294080109,True
交互项_动力电池×D2,16,0.15805479743744516,0.1485533552260102,4.255839181739905,0.000690554163466528,True
新模型_条件线性,29,0.2008090344101222,0.2112141324471258,5.119873999580785,1.998375338607694e-05,True
