D1分位阈值,全样本_年化,全样本_夏普,全样本_最大回撤,下跌段_夏普,震荡段_夏普,全样本_RankIC均值,D1触发占比
65%,0.1251482479688253,3.280957003912145,-0.099965894868268,-2.75356276059787,1.7209581793128756,0.199505005815586,0.267
70%,0.12420440499258456,3.2596881423449915,-0.099965894868268,-2.75356276059787,1.7209581793128756,0.2008090344101222,0.264
75%,0.11744213534854198,3.061614251257151,-0.099965894868268,-3.2192511017172345,1.7209581793128756,0.19663342568250247,0.243
