date,f_stock_abs,f_stock_pct_5,f_stock_pct_20,f_volume_pct_5,close,target_fwd,state_id
2025-07-16,10655.0,-0.1977260748437618,-0.6444422197750859,0.3655523027490182,66420.0,0.24782881963072795,2
2025-07-17,10239.0,-0.2237889470093245,-0.6582101011449745,1.0776213375140067,67960.0,0.22725515769390212,2
2025-07-18,10239.0,-0.11755580453331038,-0.631597884359371,1.9947246385446458,69960.0,0.21683438212094508,2
2025-07-21,9969.0,-0.1102284898250625,-0.6277306844915792,-0.16402019401552204,71280.0,0.22471358640177783,2
2025-08-20,24045.0,0.10913787536325481,1.2359122187093177,-0.3264309985996737,80980.0,-0.095013854239138,2
2025-08-21,24320.0,0.10852819180454887,1.0868371374635317,-0.26628885029812466,82760.0,-0.12713059992563935,2
2025-08-22,24990.0,0.06408345752608047,1.083194398132711,0.07350735660575203,78960.0,-0.06541698860630205,2
2025-08-25,25630.0,0.08809170027594981,1.0878136200716848,-0.39506025119460253,79380.0,-0.07805006928623104,2
2025-08-26,26690.0,0.13021384713106077,1.1741609644835451,-0.23856726296009545,79020.0,-0.07024107396632541,2
2025-08-27,27477.0,0.14273237679351225,1.0925291295407815,-0.1302142502077177,78860.0,-0.0788598754977782,2
2025-08-28,28957.0,0.19066611842105252,4.2221821460775475,0.03568659869096846,78140.0,-0.05389660192162778,2
2025-08-29,29887.0,0.19595838335334137,3.5249053747161243,-0.47456723939207124,77180.0,-0.0573261031577698,2
2025-09-01,31197.0,0.2172063987514632,1.475363008807427,-0.13817002596839134,75560.0,-0.021943615299880075,2
2025-09-02,32007.0,0.1992131884600974,1.2160908398532162,0.10872428292402248,72620.0,0.0024755892164505405,2
2025-09-04,34948.0,0.20689297924508754,1.1254029070121025,-0.1159827951116269,73420.0,-0.009304938509845309,2
2025-09-05,36631.0,0.22564994813798633,0.9454564767114557,0.6365532243122243,74260.0,-0.0270249830249063,2
2025-09-08,37451.0,0.20046799371734458,0.9315591314662954,0.44807373749525725,74800.0,-0.028751641452461105,2
2025-09-09,38101.0,0.19039585090761402,0.829228479523741,-0.04636379607408281,72900.0,0.0005485463659215941,2
2025-09-22,38909.0,-0.001385930241511124,0.5181037846273897,-0.17843161623065928,73420.0,0.10612295987295581,2
2025-09-30,41709.0,0.05728915815356528,0.30312119223919765,-0.3623510365426217,72800.0,0.08350248075463787,2
2025-10-09,42379.0,0.06616518654557346,0.24213025382496034,0.045976345587319445,73340.0,0.09315102178133766,2
2025-10-10,42669.0,0.05854771887171606,0.22092823623669444,-0.13986968916225828,72740.0,0.12347966812418108,2
2025-10-13,36718.0,-0.08953854546356221,0.002375037536512803,-0.4133757432123405,72280.0,0.18811547560940053,2
2025-10-14,35180.0,-0.14443444636299518,-0.0606392352674161,-0.41938955005573564,72680.0,0.17454049126876825,2
2025-10-15,33076.0,-0.20698170658610848,-0.13188630219679276,-0.6871113659129712,72940.0,0.17143165663330037,2
2025-11-24,26510.0,-0.016436018253997653,-0.044305850967951255,-0.6674184790759365,90480.0,0.23439740667930514,2
