window,factor,test_start,test_end,ic_train,pval_train,n_train
1,f_stock_abs,2024-09-02,2024-10-09,-0.4088542510763849,1.2110326674661055e-08,180
1,f_stock_pct_5,2024-09-02,2024-10-09,0.007745194519927066,0.918973729111476,175
1,f_stock_pct_20,2024-09-02,2024-10-09,0.10154122457122193,0.20137621786568255,160
1,f_basis_abs,2024-09-02,2024-10-09,0.09041317455190359,0.22741557095799372,180
1,f_basis_pct_5,2024-09-02,2024-10-09,0.0122615452995434,0.872055109070624,175
1,f_basis_pct_20,2024-09-02,2024-10-09,0.16858385721897265,0.03308976433285187,160
1,f_spread_1_3,2024-09-02,2024-10-09,0.12340344489518552,0.09885891211725224,180
1,f_spread_1_3_pct_5,2024-09-02,2024-10-09,-0.019316715512095888,0.7997053000522159,175
1,f_volume_pct_5,2024-09-02,2024-10-09,0.04203985669502911,0.5806785643303322,175
1,f_oi_pct_5,2024-09-02,2024-10-09,-0.06829153605015674,0.36919260807586335,175
1,f_oi_pct_20,2024-09-02,2024-10-09,-0.18076585022852457,0.02216799953010869,160
1,f_hv20,2024-09-02,2024-10-09,0.16064487587065443,0.031218749247916282,180
1,f_hv20_pct_5,2024-09-02,2024-10-09,-0.12788401253918494,0.09168899552147264,175
2,f_stock_abs,2024-10-10,2024-11-06,-0.22890595059647226,0.0019958811628340354,180
2,f_stock_pct_5,2024-10-10,2024-11-06,-0.0665196112222038,0.37496051471660413,180
2,f_stock_pct_20,2024-10-10,2024-11-06,0.08433400876684544,0.2603419334765168,180
2,f_basis_abs,2024-10-10,2024-11-06,0.024851660694310346,0.7405324522831734,180
2,f_basis_pct_5,2024-10-10,2024-11-06,0.015361608941048788,0.8378269444254739,180
2,f_basis_pct_20,2024-10-10,2024-11-06,0.17885961383551532,0.016290541190161774,180
2,f_spread_1_3,2024-10-10,2024-11-06,0.02940686302386829,0.6951538099973448,180
2,f_spread_1_3_pct_5,2024-10-10,2024-11-06,0.041708745825020606,0.5782620667023437,180
2,f_volume_pct_5,2024-10-10,2024-11-06,0.0580429437122545,0.4389571613706564,180
2,f_oi_pct_5,2024-10-10,2024-11-06,-0.10115950080763808,0.17662795445835058,180
2,f_oi_pct_20,2024-10-10,2024-11-06,-0.15663446402666747,0.03574553499121268,180
2,f_hv20,2024-10-10,2024-11-06,0.03717192917476877,0.6203102934890494,180
2,f_hv20_pct_5,2024-10-10,2024-11-06,-0.09629103778923218,0.1984885179514208,180
3,f_stock_abs,2024-11-07,2024-12-04,0.11675843961521443,0.11854518285509678,180
3,f_stock_pct_5,2024-11-07,2024-12-04,-0.16156893892715005,0.030247817616357666,180
3,f_stock_pct_20,2024-11-07,2024-12-04,-0.1959240448638271,0.008391924080424506,180
3,f_basis_abs,2024-11-07,2024-12-04,0.16836340222711324,0.02386798624045364,180
3,f_basis_pct_5,2024-11-07,2024-12-04,0.0148040005474142,0.8436369056289803,180
3,f_basis_pct_20,2024-11-07,2024-12-04,0.17821480656562383,0.01668674773708632,180
3,f_spread_1_3,2024-11-07,2024-12-04,-0.028311326901108706,0.705976135242659,180
3,f_spread_1_3_pct_5,2024-11-07,2024-12-04,0.06972653615498191,0.35232189432910543,180
3,f_volume_pct_5,2024-11-07,2024-12-04,0.11002191425661285,0.14148524822466946,180
3,f_oi_pct_5,2024-11-07,2024-12-04,-0.055279483934689344,0.46109253146167806,180
3,f_oi_pct_20,2024-11-07,2024-12-04,-0.23277878946881078,0.0016630847403668596,180
3,f_hv20,2024-11-07,2024-12-04,0.06219739292364991,0.4068466805010657,180
3,f_hv20_pct_5,2024-11-07,2024-12-04,-0.03133018508801712,0.6763034526305446,180
4,f_stock_abs,2024-12-05,2025-06-17,0.2702949903545868,0.0002428650644118531,180
4,f_stock_pct_5,2024-12-05,2025-06-17,-0.19459262589660792,0.008854621459803418,180
4,f_stock_pct_20,2024-12-05,2025-06-17,-0.3429452703461037,2.4439288673685002e-06,180
4,f_basis_abs,2024-12-05,2025-06-17,0.25376694851101034,0.0005874047018416992,180
4,f_basis_pct_5,2024-12-05,2025-06-17,0.00029630635608140176,0.9968502219595948,180
4,f_basis_pct_20,2024-12-05,2025-06-17,0.1579517021139842,0.03420107615096486,180
4,f_spread_1_3,2024-12-05,2025-06-17,0.028449640627413793,0.704606483238849,180
4,f_spread_1_3_pct_5,2024-12-05,2025-06-17,0.15221197297543676,0.041369044458854025,180
4,f_volume_pct_5,2024-12-05,2025-06-17,0.034593660298157344,0.6447790403759796,180
4,f_oi_pct_5,2024-12-05,2025-06-17,-0.11721760959700402,0.11709359181623469,180
4,f_oi_pct_20,2024-12-05,2025-06-17,-0.23963291048077612,0.0011954920958077246,180
4,f_hv20,2024-12-05,2025-06-17,0.21199008199841557,0.004278354261466806,180
4,f_hv20_pct_5,2024-12-05,2025-06-17,-0.08678662921695114,0.24668447230530546,180
5,f_stock_abs,2025-06-18,2025-07-15,0.2082802406911375,0.0050200815917575995,180
5,f_stock_pct_5,2025-06-18,2025-07-15,-0.31482160705664164,1.6750572367922596e-05,180
5,f_stock_pct_20,2025-06-18,2025-07-15,-0.04309293814928476,0.5657028909973952,180
5,f_basis_abs,2025-06-18,2025-07-15,0.24703144901392018,0.0008283265039443315,180
5,f_basis_pct_5,2025-06-18,2025-07-15,0.127688185185057,0.08760271588270103,180
5,f_basis_pct_20,2025-06-18,2025-07-15,0.17881583367443923,0.01631718049043916,180
5,f_spread_1_3,2025-06-18,2025-07-15,-0.13765884198035847,0.06535770762149584,180
5,f_spread_1_3_pct_5,2025-06-18,2025-07-15,0.11925322220921179,0.11082437105335928,180
5,f_volume_pct_5,2025-06-18,2025-07-15,0.10732018477936561,0.1515822094746528,180
5,f_oi_pct_5,2025-06-18,2025-07-15,-0.01721658075866539,0.8185638931280862,180
5,f_oi_pct_20,2025-06-18,2025-07-15,0.057950348261777626,0.43968891159048856,180
5,f_hv20,2025-06-18,2025-07-15,0.3319999588464665,5.2878867980450405e-06,180
5,f_hv20_pct_5,2025-06-18,2025-07-15,0.06549584863730361,0.38237120235021094,180
6,f_stock_abs,2025-07-16,2025-08-12,-0.055617229016183975,0.45835445095755817,180
6,f_stock_pct_5,2025-07-16,2025-08-12,-0.4844655699249977,5.546115462549278e-12,180
6,f_stock_pct_20,2025-07-16,2025-08-12,-0.2960874801112978,5.4458119904309286e-05,180
6,f_basis_abs,2025-07-16,2025-08-12,0.14073758576718398,0.05950704951996892,180
6,f_basis_pct_5,2025-07-16,2025-08-12,0.0759927219368508,0.31062408986590223,180
6,f_basis_pct_20,2025-07-16,2025-08-12,0.18541286423756187,0.01270654841765617,180
6,f_spread_1_3,2025-07-16,2025-08-12,0.13253010554809158,0.07614223327976236,180
6,f_spread_1_3_pct_5,2025-07-16,2025-08-12,-0.026461502117779683,0.7243832798085202,180
6,f_volume_pct_5,2025-07-16,2025-08-12,0.19680442812020946,0.008097872954928566,180
6,f_oi_pct_5,2025-07-16,2025-08-12,0.07607024908176178,0.3101292972240436,180
6,f_oi_pct_20,2025-07-16,2025-08-12,0.28307252281449014,0.00011791891698007002,180
6,f_hv20,2025-07-16,2025-08-12,0.09321275348004567,0.2132863948869827,180
6,f_hv20_pct_5,2025-07-16,2025-08-12,0.17881416093089292,0.01631819907173121,180
7,f_stock_abs,2025-08-13,2025-09-09,-0.29760742413958047,4.963776848365126e-05,180
7,f_stock_pct_5,2025-08-13,2025-09-09,-0.46512340915871886,4.7597373675654254e-11,180
7,f_stock_pct_20,2025-08-13,2025-09-09,-0.3904824174010092,5.991118785896518e-08,180
7,f_basis_abs,2025-08-13,2025-09-09,0.20675541603053618,0.005356997460022416,180
7,f_basis_pct_5,2025-08-13,2025-09-09,0.14632801319456057,0.04998612434583914,180
7,f_basis_pct_20,2025-08-13,2025-09-09,0.0504029198508819,0.5016204270606628,180
7,f_spread_1_3,2025-08-13,2025-09-09,0.2322705895159947,0.0017036604476974497,180
7,f_spread_1_3_pct_5,2025-08-13,2025-09-09,-0.08017282086886754,0.2846819577277893,180
7,f_volume_pct_5,2025-08-13,2025-09-09,0.14545716431577105,0.05138009313003171,180
7,f_oi_pct_5,2025-08-13,2025-09-09,0.008763644968466103,0.9070504399964996,180
7,f_oi_pct_20,2025-08-13,2025-09-09,0.20489109746185583,0.0057963466915896275,180
7,f_hv20,2025-08-13,2025-09-09,0.13660503925018264,0.06746521923526916,180
7,f_hv20_pct_5,2025-08-13,2025-09-09,0.2420054116896612,0.0010640726731434792,180
8,f_stock_abs,2025-09-10,2025-10-15,-0.269131980510423,0.0002589232113430933,180
8,f_stock_pct_5,2025-09-10,2025-10-15,-0.5269854007839748,2.9743709997662835e-14,180
8,f_stock_pct_20,2025-09-10,2025-10-15,-0.4260133677034668,2.487005452036814e-09,180
8,f_basis_abs,2025-09-10,2025-10-15,0.194510893538731,0.008883747663834854,180
8,f_basis_pct_5,2025-09-10,2025-10-15,0.16680410281738223,0.02521949150925538,180
8,f_basis_pct_20,2025-09-10,2025-10-15,-0.030831246074369364,0.6811748116811982,180
8,f_spread_1_3,2025-09-10,2025-10-15,0.035099328162171956,0.6399487923020938,180
8,f_spread_1_3_pct_5,2025-09-10,2025-10-15,-0.10416885367228831,0.16403620800395718,180
8,f_volume_pct_5,2025-09-10,2025-10-15,0.14176980771011452,0.057644684352735266,180
8,f_oi_pct_5,2025-09-10,2025-10-15,-0.0004897270491887609,0.9947941561343984,180
8,f_oi_pct_20,2025-09-10,2025-10-15,0.14992849573546507,0.0445522473842259,180
8,f_hv20,2025-09-10,2025-10-15,0.01813841991007953,0.8090304900706461,180
8,f_hv20_pct_5,2025-09-10,2025-10-15,0.15316933650215542,0.04009247031919039,180
9,f_stock_abs,2025-10-16,2025-11-12,-0.34160163092574625,2.6910827847585965e-06,180
9,f_stock_pct_5,2025-10-16,2025-11-12,-0.5846024054240356,6.933154943102389e-18,180
9,f_stock_pct_20,2025-10-16,2025-11-12,-0.37675153387019705,1.8600392305918178e-07,180
9,f_basis_abs,2025-10-16,2025-11-12,0.18749800664970304,0.011721549276576277,180
9,f_basis_pct_5,2025-10-16,2025-11-12,0.1348449743204277,0.07110859112805232,180
9,f_basis_pct_20,2025-10-16,2025-11-12,-0.10417312906757838,0.16401880899939686,180
9,f_spread_1_3,2025-10-16,2025-11-12,0.04234961522618408,0.5724311220084559,180
9,f_spread_1_3_pct_5,2025-10-16,2025-11-12,-0.13900109514340894,0.06275158728670548,180
9,f_volume_pct_5,2025-10-16,2025-11-12,0.0820951263927899,0.2732543651415183,180
9,f_oi_pct_5,2025-10-16,2025-11-12,-0.0445507577394364,0.5526177961666822,180
9,f_oi_pct_20,2025-10-16,2025-11-12,0.11645009619638465,0.11952778628211069,180
9,f_hv20,2025-10-16,2025-11-12,-0.19028365072996078,0.010510732317673252,180
9,f_hv20_pct_5,2025-10-16,2025-11-12,0.05972406555757894,0.425792983185167,180
10,f_stock_abs,2025-11-13,2025-12-10,-0.42056014189856594,4.152931171892004e-09,180
10,f_stock_pct_5,2025-11-13,2025-12-10,-0.651929586304104,3.701116463628221e-23,180
10,f_stock_pct_20,2025-11-13,2025-12-10,-0.5045466961669732,5.137653182353954e-13,180
10,f_basis_abs,2025-11-13,2025-12-10,0.06449243194002385,0.3897203514447816,180
10,f_basis_pct_5,2025-11-13,2025-12-10,0.04857261173872189,0.5173004328674639,180
10,f_basis_pct_20,2025-11-13,2025-12-10,-0.15013956206430165,0.044249670513886626,180
10,f_spread_1_3,2025-11-13,2025-12-10,0.13862241063320252,0.06347806422324034,180
10,f_spread_1_3_pct_5,2025-11-13,2025-12-10,-0.14649810653759712,0.04971755916399005,180
10,f_volume_pct_5,2025-11-13,2025-12-10,0.13470991903042273,0.07139464130891138,180
10,f_oi_pct_5,2025-11-13,2025-12-10,0.10333446505550584,0.16745826371268963,180
10,f_oi_pct_20,2025-11-13,2025-12-10,0.2564955708509522,0.0005097034323110401,180
10,f_hv20,2025-11-13,2025-12-10,-0.1817298887825756,0.01462469121813215,180
10,f_hv20_pct_5,2025-11-13,2025-12-10,0.186711524018231,0.012084894262424473,180
11,f_stock_abs,2025-12-11,2026-01-09,-0.4779918279250338,1.156085136490861e-11,180
11,f_stock_pct_5,2025-12-11,2026-01-09,-0.5953146702058705,1.213006117131973e-18,180
11,f_stock_pct_20,2025-12-11,2026-01-09,-0.549733016451125,1.3251514362272137e-15,180
11,f_basis_abs,2025-12-11,2026-01-09,-0.024363242783064752,0.7454549103749966,180
11,f_basis_pct_5,2025-12-11,2026-01-09,-0.0063181092381775945,0.9329160031003882,180
11,f_basis_pct_20,2025-12-11,2026-01-09,-0.09916062094616725,0.18537773022998857,180
11,f_spread_1_3,2025-12-11,2026-01-09,0.1392947984150073,0.06219284584052677,180
11,f_spread_1_3_pct_5,2025-12-11,2026-01-09,-0.1298535475015738,0.08231753320390549,180
11,f_volume_pct_5,2025-12-11,2026-01-09,0.08773110281181518,0.24156032038161282,180
11,f_oi_pct_5,2025-12-11,2026-01-09,0.1428686070557733,0.05571526298620846,180
11,f_oi_pct_20,2025-12-11,2026-01-09,0.24776073335596777,0.0007984251871121346,180
11,f_hv20,2025-12-11,2026-01-09,-0.08153749601325143,0.2765368247034402,180
11,f_hv20_pct_5,2025-12-11,2026-01-09,0.14104756319639494,0.05894264968576017,180
12,f_stock_abs,2026-01-12,2026-02-06,-0.556394404339423,5.092088901194227e-16,180
12,f_stock_pct_5,2026-01-12,2026-02-06,-0.3828517164644108,1.1316597748641478e-07,180
12,f_stock_pct_20,2026-01-12,2026-02-06,-0.5123388581952117,1.9557505364669614e-13,180
12,f_basis_abs,2026-01-12,2026-02-06,-0.1944868988774022,0.008892314516350672,180
12,f_basis_pct_5,2026-01-12,2026-02-06,0.04819701039850529,0.5205489899255981,180
12,f_basis_pct_20,2026-01-12,2026-02-06,-0.03861641820220788,0.606779283915221,180
12,f_spread_1_3,2026-01-12,2026-02-06,0.11013049784575944,0.1410904290452305,180
12,f_spread_1_3_pct_5,2026-01-12,2026-02-06,-0.2029992802878154,0.006274833129463565,180
12,f_volume_pct_5,2026-01-12,2026-02-06,0.09470045371770734,0.20603903743199065,180
12,f_oi_pct_5,2026-01-12,2026-02-06,0.13889523339197712,0.06295398508605778,180
12,f_oi_pct_20,2026-01-12,2026-02-06,0.30954247559081044,2.3542590555340306e-05,180
12,f_hv20,2026-01-12,2026-02-06,-0.019445044600141983,0.7955660712533154,180
12,f_hv20_pct_5,2026-01-12,2026-02-06,0.16055845345020936,0.03131089607307749,180
13,f_stock_abs,2026-02-09,2026-03-16,-0.4904847592585662,2.7626308529938235e-12,180
13,f_stock_pct_5,2026-02-09,2026-03-16,-0.43760449150150377,8.109911960056974e-10,180
13,f_stock_pct_20,2026-02-09,2026-03-16,-0.5576180334783996,4.261729898989341e-16,180
