组别,有效样本,涨跌准确率,年化收益,最大回撤,胜率
基准(固定多头),333,0.5795795795795796,0.42494654757928907,-0.24839478832932613,0.5795795795795796
"对照A(全局因子,无方向校准,去S2)",200,0.28,-0.45070436630410515,-0.34841413255942055,0.28
"对照A'(全局因子+方向校准,去S2)",198,0.7424242424242424,1.0665118020425877,-0.21207715604721117,0.7424242424242424
"对照B(状态条件+方向校准,去S2)",277,0.6895306859205776,1.0047740525534818,-0.22772806755711597,0.6895306859205776
