state,factor,mean_ic,std_ic,n_win
1,f_stock_abs,-0.20181222286485448,0.5757148456745026,4
1,f_stock_pct_20,-0.386051667630615,0.3998382718018259,4
1,f_stock_pct_5,-0.02852323115481012,0.3669923992649342,4
1,f_volume_pct_5,0.17450356660882976,0.42218730955007977,4
3,f_stock_abs,-0.3876435763874797,0.587091159535319,6
3,f_stock_pct_20,-0.4549024934473851,0.2469758372859405,6
3,f_stock_pct_5,-0.02023852145997765,0.4169605069260784,6
3,f_volume_pct_5,-0.13444357070518057,0.48745336527919464,6
