regime,n_days,exp412_ann,exp412_sharpe,exp412_maxdd,exp412_trades,exp411_ann,exp411_sharpe,exp411_maxdd,exp411_trades
uptrend,110,2.475461798256672,3.5736991542736307,-0.12306248253664306,9,3.420491243902049,3.229982272177544,-0.18936357202757403,9
downtrend,58,0.6779289731393374,2.7318458265374477,-0.045426167745687605,5,0.6823993167154614,2.742105538125703,-0.04483675299216939,5
range,460,0.5057554121296672,2.426361383768237,-0.089296443012781,26,0.6969915599104004,2.480946040011764,-0.1118361457170966,26
