date,close,exp412_equity,exp412_pos,dd_control,vol_control,signal_state,regime
2024-02-01,99600.0,1.0,0.0,1.0,1.0,flat,range
2024-02-02,100150.0,1.0,0.0,1.0,1.0,flat,range
2024-02-05,100450.0,1.0,0.0,1.0,1.0,flat,range
2024-02-06,97150.0,1.0,0.0,1.0,1.0,flat,range
2024-02-07,97650.0,1.0,0.0,1.0,1.0,flat,range
2024-02-08,96300.0,1.0,0.0,1.0,1.0,flat,range
2024-02-19,94750.0,1.0,0.0,1.0,1.0,flat,range
2024-02-20,92800.0,1.0,0.0,1.0,1.0,flat,range
2024-02-21,96900.0,1.0,0.0,1.0,1.0,flat,range
2024-02-22,97650.0,1.0,0.0,1.0,1.0,flat,range
2024-02-23,101800.0,1.039498719918075,1.0,1.0,1.0,fund_only,range
2024-02-26,102300.0,1.0446043128449811,1.0,1.0,1.0,fund_only,range
2024-02-27,106650.0,1.0890229713090638,1.0,1.0,1.0,fund_only,range
2024-02-28,108000.0,1.1028080722117102,1.0,1.0,1.0,fund_only,range
2024-02-29,119200.0,1.1583365008847404,0.5,1.0,0.5,fund_only,range
2024-03-01,119450.0,1.1590283931570808,1.0,1.0,1.0,fund_only,range
2024-03-04,117600.0,1.1410777650504202,1.0,1.0,1.0,fund_only,range
2024-03-05,111550.0,1.1100144456878998,0.5,1.0,0.5,fund_only,range
2024-03-06,114000.0,1.122204205400743,0.5,1.0,0.5,fund_only,range
2024-03-07,113000.0,1.110677002554039,1.0,1.0,1.0,fund_only,range
2024-03-08,113350.0,1.1141171525619498,1.0,1.0,1.0,fund_only,uptrend
2024-03-11,116400.0,1.1440956026308864,1.0,1.0,1.0,fund_only,uptrend
2024-03-12,119850.0,1.1780056527088636,1.0,1.0,1.0,fund_only,uptrend
2024-03-13,118800.0,1.1676852026851314,1.0,1.0,1.0,fund_only,uptrend
2024-03-14,112100.0,1.1330065248053867,0.5,1.0,0.5,fund_only,uptrend
2024-03-15,115050.0,1.1479145053949311,0.5,1.0,0.5,fund_only,uptrend
2024-03-18,116900.0,1.157143718063252,0.5,1.0,0.5,fund_only,uptrend
2024-03-19,114950.0,1.1474926049314156,0.5,1.0,0.5,fund_only,uptrend
2024-03-20,117200.0,1.1682320738195442,1.0,1.0,1.0,fund_only,uptrend
2024-03-21,117350.0,1.169727251388426,1.0,1.0,1.0,fund_only,uptrend
2024-03-22,114350.0,1.1398237000107927,1.0,1.0,1.0,fund_only,uptrend
2024-03-25,107400.0,1.103475684115018,0.5,1.0,0.5,fund_only,range
2024-03-26,108400.0,1.106575176755865,0.35,0.7,0.5,fund_only,range
