date,adx
2024-02-01,0.0
2024-02-02,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,39.173499185281614
2024-03-21,36.83589148661946
2024-03-22,34.332406508082485
2024-03-25,32.223391868247134
2024-03-26,30.297660870139254
2024-03-27,28.733683446254275
2024-03-28,27.21432652631927
2024-03-29,26.16407357155506
2024-04-01,25.02811019638815
2024-04-02,24.29115545390706
2024-04-03,22.569107332329757
2024-04-08,21.06092434105945
2024-04-09,19.924761114930757
2024-04-10,18.838426260096917
2024-04-11,18.423946833355302
2024-04-12,18.262479938255197
2024-04-15,17.456966665354614
2024-04-16,16.50073814939075
2024-04-17,15.55618975128914
2024-04-18,14.62236345822997
2024-04-19,13.74911834886592
2024-04-22,13.426485919254436
2024-04-23,12.541855972641022
2024-04-24,12.41501237092768
2024-04-25,11.974654344432846
2024-04-26,11.178598714021371
2024-04-29,11.246946353249653
2024-04-30,10.606215008778106
2024-05-06,10.968394532076541
2024-05-07,11.86438028849616
2024-05-08,12.275002375685249
2024-05-09,13.312869593304452
2024-05-10,13.42578012387389
2024-05-13,13.080582420435169
2024-05-14,12.607300140103403
2024-05-15,11.907894570215388
2024-05-16,11.064012484450306
2024-05-17,10.393886092036299
2024-05-20,9.863359026678955
2024-05-21,9.746913202188406
2024-05-22,9.352931269937148
2024-05-23,8.812415771064087
2024-05-24,8.222951102726203
2024-05-27,8.335565635795872
2024-05-28,8.12282115160637
2024-05-29,7.887447226984241
2024-05-30,7.993972877466748
2024-05-31,8.359883874443295
2024-06-03,8.2258772065324
2024-06-04,8.478095639694788
2024-06-05,7.918129494294221
2024-06-06,7.817578578035111
2024-06-07,7.927352515478302
2024-06-11,9.212964901938847
2024-06-12,10.452933757742041
2024-06-13,11.36445889749516
2024-06-14,12.68463603163909
2024-06-17,13.989474954549225
2024-06-18,15.480648199448693
2024-06-19,16.560729940461183
2024-06-20,17.99844506770355
2024-06-21,19.440114575854597
2024-06-24,20.59360442265625
2024-06-25,21.492380577340466
2024-06-26,21.570636837382875
2024-06-27,20.814630426512796
2024-06-28,20.1875850746592
2024-07-01,19.399260955686458
2024-07-02,18.832219041516236
2024-07-03,17.994924234487883
2024-07-04,16.92847958955649
2024-07-05,15.829434634607049
2024-07-08,14.981152758713192
2024-07-09,14.019169537381524
2024-07-10,13.341006490270562
2024-07-11,12.545701480471081
2024-07-12,11.951641069108362
2024-07-15,11.298902366510376
2024-07-16,11.0083064364137
2024-07-17,12.175351603492022
2024-07-18,12.843246885998527
2024-07-19,12.75082180661634
2024-07-22,12.839632327301596
2024-07-23,13.010364665170856
2024-07-24,13.484671119218229
2024-07-25,14.140527944035977
2024-07-26,14.830177407887422
2024-07-29,15.89062987553782
2024-07-30,16.806308086330098
2024-07-31,16.87458877746636
2024-08-01,16.898139655880822
2024-08-02,16.29211490213564
2024-08-05,15.735046029478202
2024-08-06,14.957064516180106
2024-08-07,14.67545224742604
2024-08-08,15.196712384781579
2024-08-09,15.167133549843765
2024-08-12,15.406518190463391
2024-08-13,15.176621097144158
2024-08-14,15.441783082268783
2024-08-15,16.001099603996714
2024-08-16,15.770687517745218
2024-08-19,15.22042205795411
2024-08-20,15.197545740231034
2024-08-21,14.271208626754545
2024-08-22,14.017517303614222
2024-08-23,14.34834074773408
2024-08-26,14.320137006616863
2024-08-27,13.652888854244209
2024-08-28,12.991765587553006
2024-08-29,12.171858574176014
2024-08-30,11.851890654042563
2024-09-02,11.615985807177198
2024-09-03,10.855238052477349
2024-09-04,10.208653285701427
2024-09-05,10.551366630025731
2024-09-06,10.655586432468876
2024-09-09,10.821408775624045
2024-09-10,11.783283337783871
2024-09-11,11.26065604513465
2024-09-12,10.844705773758095
2024-09-13,10.270819964893139
2024-09-18,10.220992900338652
2024-09-19,9.969274500371215
2024-09-20,10.098990432458384
2024-09-23,10.662202783339078
2024-09-24,10.02622397123154
2024-09-25,9.788346439649924
2024-09-26,9.853370976555778
2024-09-27,10.609700831821526
2024-09-30,11.911557270151699
2024-10-08,13.032857186395217
2024-10-09,14.190493536072085
2024-10-10,14.031711543420167
2024-10-11,14.217384294887719
2024-10-14,14.339254479465803
2024-10-15,14.996158559661811
2024-10-16,15.324940743357619
2024-10-17,15.39632528485524
2024-10-18,16.014880259499964
2024-10-21,17.117628973533204
2024-10-22,17.91497997445407
2024-10-23,18.880701385325313
2024-10-24,19.37487176908714
2024-10-25,19.38174906030619
2024-10-28,19.85067441795012
2024-10-29,19.925455938687605
2024-10-30,19.935089930569752
2024-10-31,20.199466623840745
2024-11-01,20.83438171200759
2024-11-04,21.4808585519545
2024-11-05,22.672631546341524
2024-11-06,23.758785570087692
2024-11-07,24.41967746806049
2024-11-08,24.113187968674065
2024-11-11,24.389116719210953
2024-11-12,24.45878205975877
2024-11-13,25.90568670938111
2024-11-14,25.751186948602427
2024-11-15,24.620400912283458
2024-11-18,24.226880212199717
2024-11-19,24.420649852215007
2024-11-20,24.283839709601526
2024-11-21,23.87836413886285
2024-11-22,22.858115466744866
