gap_thr,n_filtered_days,total_return,annual_return,sharpe,max_drawdown,calmar,n_trades,exec_slip_bp,gap_filter_thr
0.0,0,0.8907816066237855,0.28862909717477203,2.092271308070871,-0.06830073619489901,4.225856312165608,129,10.0,0.0
0.02,46,0.879538103555396,0.28557313780622096,2.0822264364377068,-0.07007100463166636,4.075482281256821,129,10.0,0.02
0.03,28,0.8478373890672191,0.27689724979432384,2.0135511478966035,-0.06943996003445478,3.987577896890101,129,10.0,0.03
0.04,16,0.8868839322167477,0.28757095960842705,2.0815112278111902,-0.0667649142841245,4.30721678731798,129,10.0,0.04
0.05,8,0.8865871292542209,0.2874903298899072,2.0809926523878524,-0.06691171024409025,4.296562273496795,129,10.0,0.05
0.07,5,0.8918418401964379,0.28891670136365755,2.093801402130418,-0.06913331852910425,4.1791238654633265,129,10.0,0.07
0.1,1,0.8907816066237855,0.28862909717477203,2.092271308070871,-0.06830073619489901,4.225856312165608,129,10.0,0.1
