group,total_return,annual_return,sharpe,max_drawdown,calmar,n_trades,exec_slip_bp,gap_filter_thr,group_main_slip_bp
"① exp424基准(开盘,无滑点)",1.0613806381402662,0.33371481305461903,2.327459706439815,-0.061497518021518524,5.426476121163935,129,0.0,0.0,
② 9:01进场(无滑点),1.0674654614093906,0.3352806543398108,2.345222522769966,-0.06128225295573046,5.471088906963218,129,0.0,0.0,
③ 9:01进场(+10bp滑点),0.8907816066237855,0.28862909717477203,2.092271308070871,-0.06830073619489901,4.225856312165608,129,10.0,0.0,10.0
