品种,口径,年化,夏普,回撤,Calmar,IC,笔数
碳酸锂(LC),9:01+10bp,0.289,2.092,-0.068,4.23,0.196,129
锌(Zn),9:01+10bp 全样本,0.019825023484298265,0.36406676852120473,-0.08141776170032702,0.24349752523617504,0.20527043664761774,47
锌(Zn),样本内(训练),0.0006775990353156125,0.04028007714031578,-0.08141776170032702,0.008322496481905752,0.15736395212848217,30
锌(Zn),样本外(测试),0.05710242067962046,0.938285862789817,-0.05032211515815801,1.1347380868262897,0.26589300705627933,17
