date,equity_A_fixed,equity_B_fixed,daily_ret_A,daily_ret_B
2024-02-01,0.847,0.847,0.0,0.0
2024-02-02,0.847,0.847,0.0,0.0
2024-02-05,0.847,0.847,0.0,0.0
2024-02-06,0.847,0.847,0.0,0.0
2024-02-07,0.847,0.847,0.0,0.0
2024-02-08,0.847,0.847,0.0,0.0
2024-02-19,0.847,0.847,0.0,0.0
2024-02-20,0.847,0.847,0.0,0.0
2024-02-21,0.847,0.847,0.0,0.0
2024-02-22,0.847,0.847,0.0,0.0
2024-02-23,0.847,0.847,0.0,0.0
2024-02-26,0.847,0.847,0.0,0.0
2024-02-27,0.847,0.847,0.0,0.0
2024-02-28,0.847,0.847,0.0,0.0
2024-02-29,0.847,0.847,0.0,0.0
2024-03-01,0.847,0.847,0.0,0.0
2024-03-04,0.847,0.847,0.0,0.0
2024-03-05,0.847,0.847,0.0,0.0
2024-03-06,0.847,0.847,0.0,0.0
2024-03-07,0.847,0.847,0.0,0.0
2024-03-08,0.847,0.847,0.0,0.0
2024-03-11,0.847,0.847,0.0,0.0
2024-03-12,0.847,0.847,0.0,0.0
2024-03-13,0.847,0.847,0.0,0.0
2024-03-14,0.847,0.847,0.0,0.0
2024-03-15,0.847,0.847,0.0,0.0
2024-03-18,0.847,0.847,0.0,0.0
2024-03-19,0.847,0.847,0.0,0.0
2024-03-20,0.847,0.847,0.0,0.0
2024-03-21,0.847,0.847,0.0,0.0
2024-03-22,0.847,0.847,0.0,0.0
2024-03-25,0.847,0.847,0.0,0.0
2024-03-26,0.847,0.847,0.0,0.0
2024-03-27,0.847,0.847,0.0,0.0
2024-03-28,0.847,0.847,0.0,0.0
2024-03-29,0.847,0.847,0.0,0.0
2024-04-01,0.8909126576366183,0.847,0.05184493227463802,0.0
2024-04-02,0.8782531527323679,0.8349644760213143,-0.014209591474245116,-0.014209591474245116
2024-04-03,0.8782531527323679,0.8409822380106571,0.0,0.007207207207207207
2024-04-08,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-09,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-10,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-11,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-12,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-15,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-16,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-17,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-18,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-19,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-22,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-23,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-24,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-25,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-26,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-29,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-04-30,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-06,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-07,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-08,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-09,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-10,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-13,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-14,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-15,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-16,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-17,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-20,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-21,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-22,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-23,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-24,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-27,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-28,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-29,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-30,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-05-31,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-03,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-04,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-05,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-06,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-07,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-11,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-12,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-13,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-14,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-17,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-18,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-19,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-20,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-21,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-24,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-25,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-26,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-27,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-06-28,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-07-01,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-07-02,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-07-03,0.8782531527323679,0.8409822380106571,0.0,0.0
2024-07-04,0.8782531527323679,0.8409822380106571,0.0,0.0
