close,adx,pdi,mdi,continuation,cum_mom,mom_direction,position,dist_hi,dist_lo,atr,flag_adx,flag_cont,flag_bo,alert
99600.0,,,,,,-1,,,,,False,False,False,False
100150.0,,,,,,-1,,,,,False,False,False,False
100450.0,,,,,,-1,,,,,False,False,False,False
97150.0,,,,,,-1,,,,,False,False,False,False
97650.0,,,,,,-1,,,,,False,False,False,False
96300.0,,,,,,-1,,,,,False,False,False,False
94750.0,,,,,,-1,,,,,False,False,False,False
92800.0,,,,,,-1,,,,,False,False,False,False
96900.0,,,,,,-1,,,,,False,False,False,False
97650.0,,,,,,-1,,,,,False,False,False,False
101800.0,,,,,,-1,,,,,False,False,False,False
102300.0,,,,,,-1,,,,,False,False,False,False
106650.0,,,,,,-1,,,,,False,False,False,False
108000.0,,,,,,-1,,,,,False,False,False,False
119200.0,,77.23538928482776,13.762074036101392,,,-1,,,,2164.772303277485,False,False,False,False
119450.0,,77.43583816734191,13.640895053683076,,,-1,,,,2028.0028530433792,False,False,False,False
117600.0,,72.35835492186298,19.303478669190604,,,-1,,,,2015.2883635402807,False,False,False,False
111550.0,,58.78362521695486,34.44248323023965,,,-1,,,,2303.482051858832,False,False,False,False
114000.0,,61.90075091417878,31.837655655803193,,,-1,,,,2313.9476195832012,False,False,False,False
113000.0,,59.90917678550441,34.0306882045344,0.6,,1,0.7579737335834896,-2.9052821034211904,-9.098712944047758,2220.094218184401,False,False,True,False
113350.0,,60.38953281999665,33.6229428621773,0.65,0.006902610441767066,1,0.7711069418386491,-2.923533692212437,-9.848953668027145,2086.5160597426584,False,False,True,False
116400.0,,64.39328065376132,30.224402167428952,0.65,0.008112830753869194,1,0.8855534709193246,-1.4150923648030684,-10.949567150607349,2155.336341189611,False,False,True,False
119850.0,,68.29685966527293,26.910888760338686,0.65,0.009656545545047291,1,1.0,0.0,-12.03392284916421,2247.812316818925,False,False,True,False
118800.0,,65.92791328895566,29.44605928015519,0.65,0.011142563046834798,1,0.9611829944547134,-0.4856043078845285,-12.024487623807373,2162.254294189002,False,False,True,False
112100.0,,53.23828881716708,43.02608886209626,0.6,0.00739887352790578,1,0.7134935304990758,-3.1169825835414353,-7.76229211127093,2486.378987461216,False,False,True,False
115050.0,,57.14913660779249,39.42766441805332,0.65,0.009735202492211836,1,0.822550831792976,-1.905143860347808,-8.831135602653902,2519.4947740711295,False,False,True,False
116900.0,,59.44006824519273,37.31974694210011,0.7,0.011688654353562,1,0.8909426987060998,-1.1935232298604928,-9.750477911741651,2471.6737187803346,False,False,True,False
114950.0,45.06223950726762,56.03918346959721,40.90602005127215,0.7,0.011934267241379314,1,0.7864923747276689,-2.0128069481422837,-7.414523553871065,2434.411310296025,True,False,True,False
117200.0,43.370365885026274,58.957165136263846,38.19080623163438,0.7,0.010474716202270385,1,0.8806306306306306,-1.094480932768976,-8.074378202125843,2421.239073846309,True,False,True,False
117350.0,41.82675475416206,59.15182788886518,38.00967041365797,0.7,0.010087045570916543,1,0.8614958448753463,-1.1066805957996788,-6.883553305874003,2259.0077114287155,True,False,True,False
114350.0,39.56598386954561,53.66923963400853,43.75535004917686,0.65,0.006164047151277019,1,0.6866096866096866,-2.37895886281608,-5.2120825994425015,2311.9357320409504,True,False,True,False
107400.0,37.5225875932147,43.58953264365808,54.318749030515875,0.6,0.0024926686217008774,1,0.056818181818181816,-4.710153360408114,-0.2837441783378382,2643.2260368951684,True,False,True,False
108400.0,35.39637006868313,45.18476383803463,52.7826695233985,0.6,0.0008204406938584152,1,0.08032128514056225,-4.533122529250117,-0.39590589775110197,2525.852748545514,True,False,True,False
108400.0,33.42202522447525,45.18476383803462,52.782669523398496,0.55,0.00018518518518518824,1,0.08032128514056225,-4.881824262269356,-0.4263601975781098,2345.4346950779773,True,False,True,False
108500.0,31.56302402700259,45.36395334301584,52.6101244230629,0.55,0.004488255033557048,1,0.08835341365461848,-5.19439745865266,-0.5034217801337381,2185.046502572408,True,False,True,False
107050.0,30.164373021927453,43.160757883560464,54.91171304136037,0.5,0.005190456257848475,1,0.0,-6.002223126960227,0.0,2132.543180960093,True,False,True,False
112600.0,28.50989867806728,52.641634632604045,45.752351233589,0.55,0.002125850340136054,1,0.43359375,-3.050515818930831,-2.3352224544918774,2376.6472394629436,True,False,True,False
111000.0,26.591454577124136,50.049760491683834,48.42329941034449,0.55,0.0002465262214253694,1,0.30859375,-3.8127283696315555,-1.7017262214739712,2321.1724366441617,False,False,True,False
111800.0,24.994213883569692,51.33982925124841,47.172667052637244,0.55,0.0009649122807017518,1,0.37109375,-3.6383896912726983,-2.146875904788238,2212.5172625981504,False,False,True,False
113500.0,23.898251798841642,54.055354269603896,44.54015352888892,0.6,0.00022123893805309214,1,0.50390625,-2.918320725108793,-2.9642785318034197,2175.908886698283,False,False,True,False
114150.0,23.02755436072556,55.08739664126059,43.53965989244552,0.6,0.000352889280988089,1,0.5546875,-2.757732616615225,-3.435070452275105,2066.9153947912628,False,False,True,False
115950.0,22.62015801142174,57.90717228305609,40.806082605995734,0.6,0.00019329896907216426,1,0.6953125,-1.9044363512976656,-4.346021417063904,2047.8500094490296,False,False,True,False
112500.0,21.2693595209563,51.26380265709147,47.59707338231883,0.55,0.003066332916145181,1,0.46382978723404256,-2.9329560053180064,-2.537239718886212,2148.0035802026705,False,False,True,False
112200.0,19.93541004665805,50.718907694071326,48.154076360667695,0.55,0.002777777777777779,1,0.5,-2.5545592794813134,-2.5545592794813134,2016.0033244739084,False,False,True,False
111750.0,18.571654214091378,49.86274926280344,49.02925933815666,0.55,0.0001561106155218539,1,0.4563106796116505,-2.940951042745326,-2.468298196589827,1904.1459441543436,False,False,True,False
108150.0,18.1083868737148,43.531841888364475,55.50084469410894,0.5,0.0029986962190352018,1,0.10679611650485436,-4.542585407406333,-0.543135211755105,2025.2783767147478,False,False,True,False
109400.0,17.31194987828553,46.09125930888209,52.98527072262014,0.5,0.003207869974337041,1,0.22815533980582525,-4.035735089364098,-1.1929531396233497,1969.9013498065515,False,False,True,False
108400.0,16.824402615842022,44.359072884390606,54.75216268926524,0.5,0.0028490648107872994,1,0.13106796116504854,-4.708983053256631,-0.7102935331727879,1900.6226819632263,False,False,True,False
107700.0,16.549367829851686,43.13696822902704,55.99875304895782,0.5,0.004052901023890787,-1,0.06310679611650485,-5.3172030691418275,-0.3581535746054081,1814.8639189658531,False,False,True,False
108550.0,16.011003010020694,45.1143490880062,54.05142701028122,0.5,0.0037494674051981257,-1,0.16853932584269662,-4.23839222509153,-0.8591335591401749,1745.9450676111494,False,False,True,False
109150.0,15.308913219713936,46.527878145352666,52.659382616153835,0.5,0.0022737210319195454,1,0.23595505617977527,-4.0863129076352,-1.261949574416753,1664.0918484960673,False,False,True,False
110400.0,14.239464553837024,49.448805714702054,49.78285112397643,0.55,0.0013966480446927388,1,0.37640449438202245,-3.3955050110841474,-2.049539060744485,1634.5138593177767,False,False,True,False
109600.0,13.50662627975483,47.65463734431781,51.60489755891086,0.5,0.0005535055350553541,1,0.28651685393258425,-4.031987371126143,-1.6191445348616798,1574.905726509364,False,False,True,False
109900.0,12.718087901760613,48.410571651709425,50.85965651911121,0.55,0.0006918819188191927,1,0.3202247191011236,-4.077256168627005,-1.9206909224110686,1483.8410317586952,False,False,True,False
115900.0,13.37959272334764,60.65008865780427,38.79327682040243,0.55,0.003410138248847927,1,0.9943820224719101,-0.027678997353309122,-4.899182531535715,1806.4238152045027,False,False,True,False
111450.0,12.599312959531549,50.9881128296809,48.54392835228298,0.55,0.0020551144325081762,1,0.45454545454545453,-2.255355696703462,-1.879463080586218,1995.2506855470383,False,False,True,False
112400.0,12.122053643860644,52.7197717282357,46.82880309685426,0.55,8.880994671403019e-05,1,0.5696969696969697,-1.8483904131707547,-2.4471647723669148,1920.5899222936785,False,False,True,False
113900.0,12.061364420314513,55.399280166811444,44.17487823961413,0.6,0.001306306306306304,1,0.7515151515151515,-1.0843418062633685,-3.27947277991848,1890.5477849869872,False,False,True,False
112050.0,11.446405339181611,51.5211177474456,48.08285120633421,0.55,0.00011180679785330883,1,0.5272727272727272,-2.066059317502173,-2.304450777213962,1887.6515146307738,False,False,True,False
111700.0,10.771053230483279,50.79661893585758,48.812919074551495,0.5,0.0007929515418502175,-1,0.48484848484848486,-2.390569214233899,-2.2499474957495518,1777.8192635857185,False,False,True,False
108350.0,10.784882007655204,44.365853254516246,55.293116580591644,0.55,0.0025405168637757324,-1,0.07878787878787878,-4.020913219115995,-0.34389389374018375,1890.11788761531,False,False,True,False
107100.0,11.106591837590324,42.21813733237312,57.457341503719576,0.6,0.003816300129366107,-1,0.0,-4.771211771180791,0.0,1844.3951813570736,False,False,True,False
105000.0,11.894053402797224,38.81829757304454,60.88331505353514,0.6,0.0033333333333333327,-1,0.0,-5.851869317829101,0.0,1862.652668402997,False,False,True,False
103000.0,13.050791260677164,35.856706068712626,63.867671634271,0.6,0.004099821746880572,-1,0.0,-6.889321004815946,0.0,1872.4631920884974,False,False,True,False
104000.0,13.76291900053471,38.38781014572953,61.34744365476857,0.55,0.003467561521252799,-1,0.07751937984496124,-6.574061189977801,-0.5524421168048572,1810.1443926536047,False,False,True,False
106450.0,13.59358817080491,44.19762382993161,55.562594609809864,0.5,0.0007859454461396187,-1,0.26744186046511625,-5.092010845402003,-1.8589880864166042,1855.8483646069187,False,False,True,False
106000.0,13.55251539318218,43.38834211342763,56.3762668526783,0.55,0.0015539305301645323,-1,0.23255813953488372,-5.639641842338628,-1.7089823764662508,1755.4306242778532,False,False,True,False
106700.0,13.273571968691765,45.07317003854306,54.698444434944776,0.5,0.000784132841328411,-1,0.2868217054263566,-5.476051219739492,-2.2023249470691435,1680.0427225437209,False,False,True,False
106400.0,13.102197709650302,44.46243779757153,55.31227125311807,0.5,0.000603528319405755,-1,0.26356589147286824,-6.007076048401153,-2.1499009015330444,1581.4682423620266,False,False,True,False
106150.0,13.01971752776002,43.92826686691562,55.84914882520038,0.55,0.0011054813450023016,-1,0.2441860465116279,-6.559634212275699,-2.119266437812149,1486.3633679075963,False,False,True,False
107600.0,12.383808013104286,47.84224627053613,51.95070649075801,0.55,0.0007100320659642667,-1,0.35658914728682173,-5.593874025139717,-3.10021933923406,1483.7659844856253,False,False,True,False
106200.0,12.257667162320923,44.60481181725441,55.20215161277491,0.6,0.0019021739130434755,-1,0.24806201550387597,-6.563887911795752,-2.165406321417155,1477.7826998795092,False,False,True,False
