adx_thr,cont_thr,n_alert,alert_ratio,acc_5d,ham_avg_5d,ham_avg_alert,ham_avg_normal
18,0.55,219,0.3487261146496815,0.3972602739726027,0.01405621162822612,0.0035934586843980342,0.0017115255292094683
18,0.6,132,0.21019108280254778,0.38636363636363635,0.01677171782930654,0.004519726624982523,0.0017952847541473527
18,0.65,84,0.1337579617834395,0.4166666666666667,0.014980898694851827,0.0038797747412566857,0.0021351174761235193
18,0.7,33,0.052547770700636945,0.48484848484848486,0.018342079474682187,0.003286593724692307,0.0023178657826360043
18,0.75,10,0.01592356687898089,0.7,0.01256573140039956,0.00926013746962403,0.002257161253005498
18,0.8,0,0.0,,,0.0,0.002368851463796862
20,0.55,207,0.32961783439490444,0.391304347826087,0.01441041422844486,0.003718559706251995,0.0017036381157296897
20,0.6,129,0.2054140127388535,0.3953488372093023,0.016068583871164884,0.0044203826651727455,0.0018374307309103383
20,0.65,83,0.1321656050955414,0.42168674698795183,0.01404176873401593,0.003585804405667359,0.0021831766583276504
20,0.7,33,0.052547770700636945,0.48484848484848486,0.018342079474682187,0.003286593724692307,0.0023178657826360043
20,0.75,10,0.01592356687898089,0.7,0.01256573140039956,0.00926013746962403,0.002257161253005498
20,0.8,0,0.0,,,0.0,0.002368851463796862
22,0.55,182,0.2898089171974522,0.37362637362637363,0.014426781954974538,0.0037369892457490565,0.0018092984833130434
22,0.6,116,0.18471337579617833,0.3448275862068966,0.015425795979396306,0.00436696574173513,0.0019152677920926762
22,0.65,72,0.11464968152866242,0.3472222222222222,0.012742839156902292,0.003419402890042073,0.002232563711202889
22,0.7,31,0.04936305732484077,0.45161290322580644,0.017167013281752127,0.0034634487244920163,0.002311917713660034
22,0.75,10,0.01592356687898089,0.7,0.01256573140039956,0.00926013746962403,0.002257161253005498
22,0.8,0,0.0,,,0.0,0.002368851463796862
25,0.55,149,0.2372611464968153,0.3422818791946309,0.012078974054749668,0.0037611177151077703,0.001934860519350575
25,0.6,97,0.15445859872611464,0.29896907216494845,0.01027756829185648,0.004194419443572457,0.0020347380788190645
25,0.65,57,0.09076433121019108,0.2631578947368421,0.0030609299508544572,0.0035885624903605456,0.002246880361140494
25,0.7,23,0.03662420382165605,0.34782608695652173,-0.002288329679978684,0.0024272874705757695,0.002366626251618195
25,0.75,7,0.011146496815286623,0.7142857142857143,-0.017558010684092556,0.010106241366953357,0.0022814938358579986
25,0.8,0,0.0,,,0.0,0.002368851463796862
28,0.55,123,0.19585987261146498,0.34146341463414637,0.011210776769044715,0.0038768272470844503,0.002000833564304058
28,0.6,83,0.1321656050955414,0.27710843373493976,0.008097160854035505,0.003841372598919325,0.0021441837170778104
28,0.65,50,0.07961783439490445,0.28,-0.0015395427818372266,0.002863027279921937,0.0023260286027808248
28,0.7,20,0.03184713375796178,0.35,-0.008970530076234101,0.0017235603454540727,0.0023901131151425883
28,0.75,7,0.011146496815286623,0.7142857142857143,-0.017558010684092556,0.010106241366953357,0.0022814938358579986
28,0.8,0,0.0,,,0.0,0.002368851463796862
30,0.55,104,0.16560509554140126,0.33653846153846156,0.010585165662819918,0.0035892867954170466,0.0021261645144880687
30,0.6,72,0.11464968152866242,0.2777777777777778,0.00736525525799291,0.0031752238912119268,0.0022642409867268
30,0.65,47,0.07484076433121019,0.2765957446808511,-0.00242467723193847,0.0006378446452232162,0.0025091227059916236
30,0.7,19,0.030254777070063694,0.3157894736842105,-0.00946350145410774,0.0002653753148455536,0.002434585093451591
30,0.75,6,0.009554140127388535,0.6666666666666666,-0.020550333482002154,0.00688576894027626,0.002325209749048269
30,0.8,0,0.0,,,0.0,0.002368851463796862
