trade_no,entry_date,exit_date_A,exit_date_B,direction,size,hold_days_A,hold_days_B,net_ret_A,net_ret_B,exit_reason,exit_price_B,net_ret_diff
42,2026-04-01,2026-04-02,2026-04-07,1,0.6,1,2,0.000278275122935317,-0.004134787542554533,gmm_transition,158440.0,-0.0044130626654898504
43,2026-04-07,2026-04-08,2026-04-09,1,0.6,1,1,-0.010708566455302748,-0.009250000000000001,neutral_revert,159000.0,0.0014585664553027466
44,2026-04-10,2026-04-14,2026-04-15,1,0.6,2,2,0.05562944162436548,0.08331144368468585,gmm_transition,168400.0,0.02768200206032037
45,2026-04-27,2026-04-28,2026-04-29,1,0.6,1,1,-0.013744350908285335,-0.004675977653631285,neutral_revert,178700.0,0.009068373254654049
46,2026-04-29,2026-05-07,2026-05-08,1,1.0,3,3,0.07955383946051772,0.06830434782608695,neutral_revert,197120.0,-0.011249491634430772
47,2026-05-11,2026-05-12,2026-05-14,1,1.0,1,2,-0.0018293824992683641,-0.02703846153846154,gmm_transition,203000.0,-0.025209079039193175
48,2026-05-22,2026-05-25,2026-05-26,1,0.6,1,1,-0.02067320828363873,-0.021867924528301885,neutral_revert,182000.0,-0.0011947162446631562
49,2026-06-18,2026-06-22,2026-06-23,-1,1.0,1,1,-0.010725856697819315,-0.007961200865029895,neutral_revert,158000.0,0.0027646558327894203
50,2026-06-25,2026-06-26,2026-06-29,-1,1.0,1,1,0.0011103155661628212,0.003711409395973154,neutral_revert,148000.0,0.002601093829810333
51,2026-07-30,2026-08-03,2026-08-04,-1,0.6,2,2,0.012312632922160782,0.03244620517097581,gmm_transition,138780.0,0.020133572248815026
