date,equity_A,equity_B,daily_ret_A
2024-02-01,0.847,1.0,0.0
2024-02-02,0.847,1.0,0.0
2024-02-05,0.847,1.0,0.0
2024-02-06,0.847,1.0,0.0
2024-02-07,0.847,1.0,0.0
2024-02-08,0.847,1.0,0.0
2024-02-19,0.847,1.0,0.0
2024-02-20,0.847,1.0,0.0
2024-02-21,0.847,1.0,0.0
2024-02-22,0.847,1.0,0.0
2024-02-23,0.847,1.0,0.0
2024-02-26,0.847,1.0,0.0
2024-02-27,0.847,1.0,0.0
2024-02-28,0.847,1.0,0.0
2024-02-29,0.847,1.0,0.0
2024-03-01,0.847,1.0,0.0
2024-03-04,0.847,1.0,0.0
2024-03-05,0.847,1.0,0.0
2024-03-06,0.847,1.0,0.0
2024-03-07,0.847,1.0,0.0
2024-03-08,0.847,1.0,0.0
2024-03-11,0.847,1.0,0.0
2024-03-12,0.847,1.0,0.0
2024-03-13,0.847,1.0,0.0
2024-03-14,0.847,1.0,0.0
2024-03-15,0.847,1.0,0.0
2024-03-18,0.847,1.0,0.0
2024-03-19,0.847,1.0,0.0
2024-03-20,0.847,1.0,0.0
2024-03-21,0.847,1.0,0.0
2024-03-22,0.847,1.0,0.0
2024-03-25,0.847,1.0,0.0
2024-03-26,0.847,1.0,0.0
2024-03-27,0.847,1.0,0.0
2024-03-28,0.847,1.0,0.0
2024-03-29,0.847,1.0,0.0
2024-04-01,0.8909126576366183,1.0,0.05184493227463802
2024-04-02,0.8909126576366183,0.992959219858156,0.0
2024-04-03,0.8909126576366183,0.9859680123013179,0.0
2024-04-08,0.8909126576366183,0.9859680123013179,0.0
2024-04-09,0.8909126576366183,0.9859680123013179,0.0
2024-04-10,0.8909126576366183,0.9859680123013179,0.0
2024-04-11,0.8909126576366183,0.9859680123013179,0.0
2024-04-12,0.8909126576366183,0.9859680123013179,0.0
2024-04-15,0.8909126576366183,0.9859680123013179,0.0
2024-04-16,0.8909126576366183,0.9859680123013179,0.0
2024-04-17,0.8909126576366183,0.9859680123013179,0.0
