datetime,open,high,low,close,volume,hold
2026-09-04 10:58:00,151300.0,151300.0,150960.0,151020.0,1105,398445
2026-09-04 10:59:00,151140.0,151280.0,151120.0,151120.0,274,398537
2026-09-04 11:00:00,151200.0,151340.0,151180.0,151180.0,264,398502
2026-09-04 11:01:00,151240.0,151320.0,151160.0,151320.0,85,398497
2026-09-04 11:02:00,151240.0,151300.0,151220.0,151220.0,167,398462
2026-09-04 11:03:00,151160.0,151200.0,151020.0,151060.0,201,398409
2026-09-04 11:04:00,151060.0,151100.0,150760.0,150780.0,769,398383
2026-09-04 11:05:00,150800.0,150800.0,150580.0,150700.0,996,398257
2026-09-04 11:06:00,150600.0,150600.0,150440.0,150500.0,1210,398415
2026-09-04 11:07:00,150440.0,150820.0,150440.0,150560.0,791,398244
2026-09-04 11:08:00,150460.0,150740.0,150460.0,150580.0,552,398402
2026-09-04 11:09:00,150580.0,150580.0,150200.0,150400.0,1217,398647
2026-09-04 11:10:00,150520.0,150580.0,150360.0,150400.0,560,398669
2026-09-04 11:11:00,150440.0,150640.0,150300.0,150520.0,795,398706
2026-09-04 11:12:00,150520.0,150620.0,150280.0,150280.0,445,398708
2026-09-04 11:13:00,150240.0,150280.0,150040.0,150040.0,1343,398630
2026-09-04 11:14:00,150040.0,150260.0,150040.0,150200.0,553,398673
2026-09-04 11:15:00,150240.0,150240.0,150100.0,150120.0,440,398777
2026-09-04 11:16:00,149880.0,150180.0,149240.0,149460.0,5692,398331
2026-09-04 11:17:00,149480.0,150060.0,149480.0,150020.0,1353,398177
2026-09-04 11:18:00,150080.0,150380.0,150080.0,150100.0,1089,398107
2026-09-04 11:19:00,150100.0,150140.0,149860.0,149980.0,869,398422
2026-09-04 11:20:00,149980.0,150300.0,149940.0,150240.0,775,398461
2026-09-04 11:21:00,150260.0,150580.0,150200.0,150500.0,760,398416
2026-09-04 11:22:00,150500.0,150560.0,150260.0,150480.0,757,398551
2026-09-04 11:23:00,150460.0,150520.0,150400.0,150420.0,290,398493
2026-09-04 11:24:00,150440.0,150460.0,150180.0,150400.0,400,398584
2026-09-04 11:25:00,150400.0,150400.0,150300.0,150360.0,256,398586
2026-09-04 11:26:00,150400.0,150400.0,149900.0,149980.0,683,398395
2026-09-04 11:27:00,149960.0,149960.0,149600.0,149700.0,969,398324
2026-09-04 11:28:00,149700.0,149760.0,149540.0,149680.0,1152,398192
2026-09-04 11:29:00,149680.0,149860.0,149600.0,149700.0,640,398227
2026-09-04 11:30:00,149720.0,149900.0,149460.0,149520.0,1177,398525
2026-09-04 13:31:00,149400.0,149500.0,148700.0,148760.0,5149,398436
2026-09-04 13:32:00,148700.0,149020.0,148680.0,148880.0,2287,398587
2026-09-04 13:33:00,148980.0,149540.0,148880.0,148900.0,2472,399117
