group,desc,annual_return,sharpe,max_drawdown,calmar,total_return,n_trades,ic,ic_rank,n_signal_days
基准组,原版T1+ADX降权(×0.3),0.28862909717477203,2.092271308070871,-0.06830073619489901,4.225856312165608,0.8907816066237855,129,0.1963886191100946,0.1885473032011553,216
消融A,固定权重(关闭Logit自适应资金跟随),0.2230510486958157,1.9374525572620902,-0.057572023771967164,3.8742957791319332,0.6582911992345486,81,0.07954522681343391,0.08306353150203492,182
消融B,移除产业主体(仅投机动量),0.1754034059358529,1.5327670332944883,-0.06830073619489901,2.5681041773156283,0.5007543311574401,106,0.1526817210284893,0.1562842794436979,180
消融C,移除投机主体(仅产业基本面),0.07461608298499378,0.823914218133148,-0.07528537964619052,0.9911098720051337,0.19814224232287514,58,0.11231332907904222,0.08480524323259755,168
消融D,关闭ADX趋势降权(原版T1),0.3205241252294877,2.019743268497452,-0.10521864458043015,3.046267384526855,1.0105496664072837,126,0.22115540384747956,0.19300599991563785,216
