group,desc,delta_annual_pp,delta_calmar,delta_drawdown_pp,annual_return,calmar
消融A,固定权重(关闭Logit自适应资金跟随),-6.557804847895632,-0.35156053303367507,1.072871242293185,0.2230510486958157,3.8742957791319332
消融B,移除产业主体(仅投机动量),-11.322569123891913,-1.65775213484998,0.0,0.1754034059358529,2.5681041773156283
消融C,移除投机主体(仅产业基本面),-21.401301418977823,-3.2347464401604746,-0.6984643451291503,0.07461608298499378,0.9911098720051337
消融D,关闭ADX趋势降权(原版T1),3.189502805471567,-1.1795889276387532,-3.6917908385531133,0.3205241252294877,3.046267384526855
