date,dir_disagreement,disagreement_vol,disagreement_decay,ham_dev_mean,ham_n_f_minus_n_c,fwd20_ret
2024-02-01,-1.0,,,,-1.0,0.1380522088353413
2024-02-02,-1.0,,,,-1.0,0.1622566150773838
2024-02-05,-1.0,,,,-1.0,0.1931309109009458
2024-02-06,1.0,,,,-1.0,0.2228512609366959
2024-02-07,-1.0,,,,-1.0,0.1479774705581156
2024-02-08,1.0,,,,-1.0,0.1947040498442367
2024-02-19,1.0,,,,-1.0,0.23377308707124
2024-02-20,1.0,,,,-1.0,0.2386853448275863
2024-02-21,-1.0,,,,-1.0,0.2094943240454077
2024-02-22,-1.0,650.4485631726258,,,-1.0,0.2017409114183308
2024-02-23,-1.0,736.7465334465134,-0.22216160264978618,,-1.0,0.1232809430255403
2024-02-26,-1.0,724.2910588146093,-0.009578228655761946,,-1.0,0.0498533724340175
2024-02-27,-1.0,790.0117655728867,-0.18905696144447415,,-1.0,0.0164088138771683
2024-02-28,-1.0,761.7328603581774,-0.08450863736193437,,-1.0,0.0037037037037037
2024-02-29,-1.0,1418.6533688510317,-0.22960153358949617,,-1.0,-0.0897651006711409
2024-03-01,-1.0,1397.2144908113908,0.039185777423104244,,-1.0,-0.1038091251569695
2024-03-04,1.0,1353.8870374939402,-0.08835583324654006,,-1.0,-0.042517006802721
2024-03-05,1.0,1387.264082280994,-0.1528568214203915,,-1.0,-0.0049305244285073
2024-03-06,-1.0,1348.1807646858806,-0.09414420650812715,,-1.0,-0.019298245614035
2024-03-07,1.0,1322.4895532370201,-0.042026720724911926,,-1.0,0.0044247787610618
2024-03-08,-1.0,1324.472958735305,0.012565721350553272,,-1.0,0.0070577856197617
2024-03-11,-1.0,1308.1041675485537,-0.08564892941971576,,-1.0,-0.0038659793814432
2024-03-12,-1.0,1285.048125250773,-0.12211735146411237,,-1.0,-0.0613266583229036
2024-03-13,1.0,1295.2310045946083,0.057256615150215094,,-1.0,-0.0555555555555555
2024-03-14,1.0,1349.6704032349608,-0.12976273516276865,,-1.0,-0.003122212310437
