date,ham_dev_mean,ham_dev_median,ham_D_f_minus_D_c,ham_n_f_minus_n_c,dir_disagreement,disagreement_vol,disagreement_decay,adaptive_disagree_v1,multiagent_3,basis_rate,basis_rate_chg5,pos_chg_20d_pct,vol_chg_20d_pct,rvol20,vol_rel,basis_turn,momentum_20d,bias_rate,position_pct_chg
2024-02-01,0.0,0.0,-225.0,-1.0,-1.0,,,,-226.28,-2.56,2.23,-2.651327005947027,-69.72364065587232,2.149804035765685,0.5159604915683599,-1.0,0.0,0.0,0.0
2024-02-02,0.0,0.0,-275.0,-1.0,-1.0,,,-275.0,-276.55,-3.1,1.02,-12.131230431146808,-60.88546922300706,2.1117377676774107,0.6556079607240063,-1.0,0.0,0.0,-6.538557008108558
2024-02-05,0.0,0.0,-150.0,-1.0,-1.0,,,-150.0,-151.69,-3.38,1.7199999999999998,-15.686262078060407,-69.23328362172873,2.0794956318959548,0.435655689293988,-1.0,0.0,0.0,-1.8930423684424103
2024-02-06,0.0,0.0,1650.0,-1.0,1.0,,,1650.0,1649.95,-0.1,4.11,-12.21873881435219,-45.46299437945329,2.1800252262062827,1.119333730643132,-1.0,0.0,0.0,6.960288157132877
2024-02-07,0.0,0.0,-250.0,-1.0,-1.0,,,-250.0,-250.305,-0.61,1.81,-14.182211544508874,-60.270277837404,2.170761354587881,0.4441124584133594,-1.0,0.0,0.0,-4.0685044186193675
2024-02-08,0.0,0.0,675.0,-1.0,1.0,,,675.0,675.39,0.78,3.34,-12.11678089594751,-72.97367881060309,1.4488177108497844,0.6583187834188909,1.0,0.0,0.0,1.301556591328823
2024-02-19,0.0,0.0,775.0,-1.0,1.0,,,775.0,776.135,2.27,5.37,-4.494144207704247,-53.38873111040987,1.4414519745562508,0.7892091938656112,1.0,0.0,0.0,7.725641693434038
2024-02-20,0.0,0.0,975.0,-1.0,1.0,,,975.0,977.13,4.26,7.64,10.310887430719246,0.68518410683438,1.4855934154620472,1.2312534529013863,1.0,0.0,0.0,16.28398933562558
2024-02-21,0.0,0.0,-2050.0,-1.0,-1.0,,,-2050.0,-2050.385,-0.77,-0.67,3.865736966854362,196.3357286996539,1.7563897263203576,3.415833507876548,-1.0,0.0,0.0,-4.338309606999513
2024-02-22,0.0,0.0,-375.0,-1.0,-1.0,650.4485631726258,,-375.0,-375.77,-1.54,-0.93,6.029136568884801,-9.35593529001123,1.7099668906660137,1.2655333953433183,-1.0,0.0,0.0,0.2233719505200904
2024-02-23,0.0,0.0,-2075.0,-1.0,-1.0,736.7465334465134,-0.22216160264978618,-2075.0,-2077.725,-5.45,-6.23,12.413159631033546,63.94381432639232,1.9727222332061876,2.094436614637685,-1.0,0.0,0.0,4.680958720100237
2024-02-26,0.0,0.0,-250.0,-1.0,-1.0,724.2910588146093,-0.009578228655761946,-250.0,-252.76,-5.52,-7.789999999999999,15.81397748229923,146.46403334974863,1.96218709091422,2.0533358776805093,-1.0,0.0,0.0,3.3478340928969397
