window,train_start,train_end,test_start,test_end,insample_annual,insample_sharpe,insample_max_dd,oos_annual,oos_sharpe,oos_max_dd,oos_calmar,oos_positive
1,2024-02-01,2025-02-20,2025-02-21,2025-05-21,0.3264113131326727,2.0966896163358255,-0.059946483064319656,0.13007376116869285,1.860071219224322,-0.0030000000000001015,43.357920389562814,True
2,2024-05-10,2025-05-21,2025-05-22,2025-08-14,0.3157514393092091,2.3080282317516887,-0.033244219653179204,0.5262730631593937,1.803916137996605,-0.09472996327634875,5.555507940229387,True
3,2024-08-05,2025-08-14,2025-08-15,2025-11-14,0.4843522580487156,2.4707659710502607,-0.05638211097585869,0.2680739607665823,1.8892073419723665,-0.04308839266378491,6.221488994921225,True
4,2024-11-06,2025-11-14,2025-11-17,2026-02-10,0.4017936839502221,2.1826737356790304,-0.05934147204855447,0.9326354615707044,4.01858053599592,-0.028105193922235174,33.183740491214266,True
5,2025-02-07,2026-02-10,2026-02-11,2026-05-19,0.5847470156970296,3.002103551302202,-0.05934147204855415,0.7649189079491479,3.621873363167573,-0.021272192796939003,35.958629900120926,True
6,2025-05-08,2026-05-19,2026-05-20,2026-08-12,0.8566060260487496,3.6350493750102286,-0.05934147204855415,0.5741825170549832,4.321347565399041,-0.006251949868501414,91.840550409374,True
