variant,total_return,annual_return,sharpe,max_drawdown,calmar
原版T1(B),1.2289907963148599,0.3758723247794351,2.273654692813911,-0.0988825888077566,3.801198262620231
ADX降权(×0.3),1.0613806381402662,0.33371481305461903,2.327459706439815,-0.061497518021518524,5.426476121163935
ADX清零,0.9880685430827223,0.31462622145068964,2.248085859698256,-0.056943464387774076,5.525238494590799
强信号筛选,0.5107382097049409,0.17851003707066226,1.5691568623949241,-0.07827700683707935,2.2804913509557334
ADX+强信号,0.47798187170554085,0.16827056440444865,1.5605649492603721,-0.06547375600231853,2.5700459951998162
