vol_half,vol_full,ann_ret_B,sharpe_B,max_dd_B,calmar_B,positive
0.25,0.7,0.29037098723437804,2.2581703151872863,-0.09269284745220818,3.1326148156586884,True
0.25,0.8,0.2859184446472163,2.2156539067548215,-0.09192265117971919,3.1104242640719026,True
0.25,0.9,0.30410004824122794,2.315664023338073,-0.09192265117971919,3.308216683684176,True
0.25,1.0,0.2965183973686032,2.252948075916103,-0.09192265117971919,3.225738091353307,True
0.25,1.1,0.2965183973686032,2.252948075916103,-0.09192265117971919,3.225738091353307,True
0.3,0.7,0.3029250135837054,2.161337545074205,-0.09964688192890599,3.0399848717778255,True
0.3,0.8,0.2984291521855089,2.123715171892281,-0.09888258880775636,3.018015161048252,True
0.3,0.9,0.31678764469972287,2.218125075120959,-0.09888258880775636,3.2036746662813305,True
0.3,1.0,0.30913223190454353,2.161810490075039,-0.09888258880775636,3.126255447311824,True
0.3,1.1,0.30913223190454353,2.161810490075039,-0.09888258880775636,3.126255447311824,True
0.35,0.7,0.30633115895998775,2.0953995428839787,-0.09964688192890622,3.0741670289145815,True
0.35,0.8,0.3018235443470212,2.060093381279153,-0.0988825888077565,3.0523426620010348,True
0.35,0.9,0.32023003017914786,2.1517514975715084,-0.0988825888077565,3.238487523842302,True
0.35,1.0,0.3125546043758336,2.0984959855591625,-0.0988825888077565,3.1608659132447428,True
0.35,1.1,0.3125546043758336,2.0984959855591625,-0.0988825888077565,3.1608659132447428,True
0.4,0.7,0.36138767299983465,2.221057591094103,-0.10039277538286094,3.5997378458921534,True
0.4,0.8,0.3566900808719615,2.1888298595063884,-0.0988825888077566,3.6072081563865956,True
0.4,0.9,0.3758723247794351,2.273654692813911,-0.0988825888077566,3.801198262620231,True
0.4,1.0,0.3678734111793216,2.2248361024767433,-0.0988825888077566,3.720305218692501,True
0.4,1.1,0.3678734111793216,2.2248361024767433,-0.0988825888077566,3.720305218692501,True
0.45,0.7,0.41480891969831246,2.318003240519372,-0.09964688192890635,4.162788756343227,True
0.45,0.8,0.4099269926943929,2.2883291269863397,-0.0988825888077566,4.145593249903235,True
0.45,0.9,0.42986195341011646,2.3676393446093194,-0.0988825888077566,4.347195584106683,True
0.45,1.0,0.42154916012295574,2.322499904592607,-0.0988825888077566,4.263128273699569,True
0.45,1.1,0.42154916012295574,2.322499904592607,-0.0988825888077566,4.263128273699569,True
0.5,0.7,0.43226168439167445,1.9859551402861624,-0.16693836839435341,2.589348922894441,True
0.5,0.8,0.42731953503400644,1.9636822545315447,-0.16623119777234915,2.5706337965465025,True
0.5,0.9,0.4475004089424579,2.031359297788625,-0.16623119777234915,2.692036241929161,True
0.5,1.0,0.4390850709065577,1.9964657184144683,-0.16623119777234915,2.6414119418659148,True
0.5,1.1,0.4390850709065577,1.9964657184144683,-0.16623119777234915,2.6414119418659148,True
