date,open,high,low,close,volume,position,settle,ret,rvol20,rvol60,rvol20_rel,pos_chg_5d,pos_chg_5d_pct,pos_chg_20d,pos_chg_20d_pct,pos_price_diverge,vol_chg_5d_pct,vol_chg_20d_pct,spot_price,near_basis_abs,basis_abs,near_basis_rate,basis_rate,basis_rate_chg5,basis_turn,spot_close_gap_pct,vol_rel,amt_proxy,amt_rel,IC_roll,dev_median,dev_mean,dev_p90,alpha_cv_roll,beta_cv_roll,alert_level,flags,fwd20_ret,fwd20_dir,fwd20_up_ratio,regime_gt
2024-02-01,98850.0,99950.0,98000.0,99600.0,58995,145032,99300.0,0.004538577912254205,2.149804035765685,3.187493937017209,,-4135.0,-2.772060844556772,-3950.0,-2.651327005947027,1.0,-30.663454192865956,-69.72364065587232,97050.0,1050.0,-2550.0,1.09,-2.56,2.23,-1.0,-2.5602409638554215,0.5159604915683599,5875902000.0,0.5089325654158577,,,,,,,OK,-,0.1380522088353413,1.0,0.65,VALID
2024-02-02,99600.0,101500.0,99300.0,100150.0,71323,135549,100400.0,0.005522088353413723,2.1117377676774107,3.19064677961228,,-12699.0,-8.566051481301603,-18714.0,-12.131230431146808,1.0,-11.72459032625377,-60.885469223007064,97050.0,1250.0,-3100.0,1.3,-3.1,1.02,-1.0,-3.09535696455317,0.6556079607240063,7142998450.0,0.6491699522200678,,,,,,,OK,-,0.16225661507738387,1.0,0.65,VALID
2024-02-05,100400.0,101250.0,99550.0,100450.0,45180,132983,100550.0,0.0029955067398901303,2.0794956318959548,3.1525765618101094,,-11745.0,-8.115223039080206,-24741.0,-15.686262078060409,1.0,-41.56826735298302,-69.23328362172873,97050.0,750.0,-3400.0,0.78,-3.38,1.7199999999999998,-1.0,-3.3847685415629667,0.435655689293988,4538331000.0,0.4315430526986991,,,,,,,OK,-,0.1931309109009458,1.0,0.65,VALID
2024-02-06,100450.0,100650.0,96400.0,97150.0,110907,142239,98250.0,-0.03285216525634649,2.1800252262062827,3.122763664946952,,1121.0,0.7943706685185449,-19799.0,-12.21873881435219,-1.0,101.95753514458445,-45.46299437945329,97050.0,1800.0,-100.0,1.89,-0.1,4.11,-1.0,-0.1029336078229542,1.1193337306431321,10774615050.0,1.0721946842107508,,,,,,,OK,-,0.22285126093669594,1.0,0.65,VALID
2024-02-07,97100.0,98350.0,97050.0,97650.0,42570,136452,97750.0,0.00514668039114774,2.170761354587881,3.122006701142744,,-13936.0,-9.266696810915764,-22550.0,-14.182211544508874,1.0,-58.26920626206977,-60.270277837403995,97050.0,3250.0,-600.0,3.46,-0.61,1.81,-1.0,-0.6144393241167435,0.44411245841335945,4156960500.0,0.42712262495961023,,,,,,,OK,-,0.1479774705581156,1.0,0.6,VALID
2024-02-08,97600.0,99000.0,95800.0,96300.0,57952,138228,97150.0,-0.01382488479262678,1.4488177108497844,3.1226267967550023,,-6804.0,-4.691378454410061,-19058.0,-12.11678089594751,1.0,-1.7679464361386565,-72.97367881060309,97050.0,4800.0,750.0,5.2,0.78,3.34,1.0,0.778816199376947,0.6583187834188909,5580777600.0,0.6278307735116774,,,,,,,OK,-,0.19470404984423673,1.0,0.65,VALID
2024-02-19,97000.0,97950.0,94550.0,94750.0,66470,148907,96050.0,-0.016095534787123555,1.4414519745562508,3.1244216424872273,,13358.0,9.85473887671617,-7007.0,-4.494144207704247,-1.0,-6.804256691389876,-53.38873111040987,96900.0,5700.0,2150.0,6.25,2.27,5.37,1.0,2.2691292875989446,0.7892091938656112,6298032500.0,0.7435220252525475,,,,,,,OK,-,0.23377308707124,1.0,0.7,VALID
2024-02-20,95000.0,95500.0,92450.0,92800.0,103744,173155,93650.0,-0.02058047493403692,1.4855934154620472,3.124420467168231,,40172.0,30.208372498740438,16185.0,10.310887430719246,-1.0,129.62372731297035,0.68518410683438,96750.0,6750.0,3950.0,7.5,4.26,7.64,1.0,4.256465517241379,1.2312534529013865,9627443200.0,1.1424960572149832,,,,,,,OK,-,0.2386853448275863,1.0,0.7,VALID
2024-02-21,92700.0,103000.0,92700.0,96900.0,324538,165643,97550.0,0.044181034482758674,1.7563897263203576,3.191200013451566,,23404.0,16.45399644260716,6165.0,3.865736966854362,-1.0,192.62174614767326,196.3357286996539,96150.0,-3100.0,-750.0,-3.12,-0.77,-0.67,-1.0,-0.7739938080495357,3.4158335078765476,31447732200.0,3.335301646133861,,,,,,,OK,-,0.2094943240454077,1.0,0.7,VALID
2024-02-22,96950.0,98450.0,96600.0,97650.0,119458,166013,97600.0,0.007739938080495445,1.7099668906660135,3.1702132538748,,29561.0,21.66402837627884,9440.0,6.029136568884801,1.0,180.61545689452666,-9.35593529001123,96150.0,2150.0,-1500.0,2.29,-1.54,-0.93,-1.0,-1.5360983102918586,1.2655333953433185,11665073700.0,1.248732098668021,,,,,,,OK,-,0.20174091141833084,1.0,0.7,VALID
