entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2011-09-22,2011-09-27,-1,1.0,3,0.05580075662042875,0.05280075662042875,neutral_revert
2011-09-29,2011-09-30,-1,1.0,1,-0.048315753657706705,-0.05131575365770671,neutral_revert
2011-10-10,2011-10-11,-1,0.6,1,-0.0013231888852133643,-0.004323188885213365,gmm_transition
2011-10-20,2011-10-21,-1,1.0,1,-0.032129963898916966,-0.03512996389891697,neutral_revert
2011-11-10,2011-11-11,-1,0.6,1,-0.01722949689869056,-0.02022949689869056,neutral_revert
2011-12-01,2011-12-05,1,0.6,1,-0.006012658227848101,-0.009012658227848101,neutral_revert
2012-02-08,2012-02-09,1,0.6,1,-0.007682851874615857,-0.010682851874615857,neutral_revert
2012-09-03,2012-09-04,1,0.6,1,0.0,-0.003,gmm_transition
2012-09-06,2012-09-13,1,1.0,5,0.022044088176352707,0.019044088176352707,neutral_revert
2012-09-14,2012-09-17,1,1.0,1,-0.008204480908804039,-0.011204480908804038,neutral_revert
2012-09-19,2012-09-20,1,1.0,1,-0.01825047199496539,-0.021250471994965388,neutral_revert
2012-09-21,2012-09-24,1,1.0,1,-0.012078830260648443,-0.015078830260648442,neutral_revert
2012-12-14,2012-12-18,1,0.6,2,-0.0006428801028608164,-0.0036428801028608165,neutral_revert
2012-12-27,2012-12-28,1,0.6,1,-0.0028864656831302116,-0.005886465683130212,gmm_transition
2013-01-18,2013-01-21,1,0.6,1,-0.0035667963683527885,-0.006566796368352789,neutral_revert
2013-01-25,2013-01-28,1,1.0,1,-0.004157339302846178,-0.007157339302846178,neutral_revert
2013-01-29,2013-02-01,1,1.0,3,0.020349761526232114,0.017349761526232115,neutral_revert
2013-02-04,2013-02-05,1,1.0,1,-0.011440940012368584,-0.014440940012368585,neutral_revert
2013-03-11,2013-03-13,-1,0.6,2,-0.0042706964520367935,-0.0072706964520367935,neutral_revert
2013-03-18,2013-03-20,-1,1.0,2,-0.004034969737726967,-0.0070349697377269675,gmm_transition
2013-03-22,2013-03-25,-1,0.6,1,-0.005351170568561873,-0.008351170568561873,gmm_transition
2013-04-01,2013-04-02,-1,1.0,1,-0.00513347022587269,-0.008133470225872689,gmm_transition
2013-04-03,2013-04-08,-1,1.0,1,-0.01201923076923077,-0.01501923076923077,neutral_revert
2013-04-18,2013-04-19,-1,1.0,1,-0.01959412176347096,-0.02259412176347096,neutral_revert
2013-05-02,2013-05-03,-1,1.0,1,-0.003815469996531391,-0.0068154699965313915,gmm_transition
2013-08-16,2013-08-20,1,1.0,2,-0.00955833882663151,-0.012558338826631509,neutral_revert
2013-08-26,2013-08-27,1,0.6,1,-0.005259697567389875,-0.008259697567389875,neutral_revert
2013-12-20,2013-12-23,1,1.0,1,-0.0045871559633027525,-0.007587155963302753,neutral_revert
2013-12-24,2013-12-26,1,1.0,2,-0.011074918566775244,-0.014074918566775244,neutral_revert
2013-12-27,2013-12-30,1,1.0,1,-0.0045691906005221935,-0.0075691906005221936,neutral_revert
2014-03-04,2014-03-05,1,1.0,1,-0.0045691906005221935,-0.0075691906005221936,gmm_transition
2014-03-11,2014-03-12,-1,1.0,1,-0.0060954961056552655,-0.009095496105655266,neutral_revert
2014-03-13,2014-03-18,-1,0.6,3,0.002028397565922921,-0.0009716024340770792,neutral_revert
2014-03-20,2014-03-21,-1,1.0,1,-0.003735144312393888,-0.006735144312393888,gmm_transition
2014-05-14,2014-05-15,1,0.6,1,-0.005564648117839607,-0.008564648117839607,gmm_transition
2014-06-09,2014-06-12,1,1.0,3,0.008130081300813009,0.005130081300813009,neutral_revert
2014-06-17,2014-06-24,1,0.6,5,0.01423948220064725,0.01123948220064725,neutral_revert
2014-06-26,2014-06-27,1,0.6,1,-0.0015827793605571383,-0.004582779360557138,gmm_transition
2014-06-30,2014-07-02,1,1.0,2,-0.01066164941988084,-0.01366164941988084,neutral_revert
2014-07-03,2014-07-07,1,1.0,2,-0.010487353485502776,-0.013487353485502777,neutral_revert
2014-07-08,2014-07-09,1,1.0,1,-0.0003050640634533252,-0.0033050640634533254,gmm_transition
2014-07-14,2014-07-16,1,1.0,2,0.01218769043266301,0.009187690432663011,gmm_transition
