vol_half_thr,vol_full_thr,n_half_days,n_full_days,annual_return,sharpe_full,max_drawdown,calmar,n_trades,ret_loss_vs_T0,dd_improve_vs_T0
0.3,0.5,227,162,0.2801933274961892,2.232476362137488,-0.05410882098587491,5.178329935692622,28,-0.4806672628105373,0.06145118909738319
0.3,0.6,305,84,0.33500517216994186,2.3925830710987017,-0.05912964519102792,5.6656043019986555,32,-0.4258554181367846,0.05643036489223018
0.3,0.7,349,40,0.397149136243224,2.6785903206691035,-0.061956640491563346,6.4101141232359735,37,-0.36371145406350247,0.053603369591694754
0.3,0.8,358,31,0.39587508089516454,2.6587994260409515,-0.05934147204855421,6.671136849642907,38,-0.36498550941156194,0.05621853803470389
0.3,0.9,364,25,0.41609087875060924,2.7501854023343086,-0.05934147204855421,7.011805814492714,39,-0.34476971155611724,0.05621853803470389
0.4,0.5,113,162,0.34480071879321383,2.311064549098369,-0.06596711092968872,5.22685795897172,28,-0.41605987151351265,0.049592899153569375
0.4,0.6,191,84,0.40240060281513323,2.4713228991394676,-0.059946483064319656,6.71266406710427,32,-0.35845998749159325,0.055613527018938444
0.4,0.7,235,40,0.46768179759585227,2.731780352835905,-0.061956640491563374,7.548533843753785,37,-0.2931787927108742,0.053603369591694726
0.4,0.8,244,31,0.4663434237637605,2.7153185596346576,-0.059946483064319656,7.779329160367869,38,-0.294517166542966,0.055613527018938444
0.4,0.9,250,25,0.4875797812624989,2.7986662281593575,-0.059946483064319656,8.133584429621159,39,-0.2732808090442276,0.055613527018938444
0.45,0.5,61,162,0.39631307795985893,2.381326284382457,-0.06227815249665867,6.3635972178385,28,-0.36454751234686755,0.05328185758659943
0.45,0.6,139,84,0.4561194706385352,2.537222228730193,-0.06876356168296291,6.633156565413116,32,-0.3047411196681913,0.04679644840029519
0.45,0.7,183,40,0.5239012575230648,2.781941818913413,-0.06876356168296291,7.618879021109058,37,-0.23695933278366166,0.04679644840029519
0.45,0.8,192,31,0.5225116173646194,2.7672387697763274,-0.06876356168296291,7.598670059786601,38,-0.2383489729421071,0.04679644840029519
0.45,0.9,198,25,0.5445614322158676,2.8456267309342866,-0.06876356168296291,7.919331385517658,39,-0.21629915809085887,0.04679644840029519
0.5,0.6,78,84,0.5025242059214747,2.2528315213233148,-0.10521764197174972,4.776045124223553,32,-0.25833638438525175,0.010342368111508377
0.5,0.7,122,40,0.5724586764760708,2.4639655864937207,-0.10521764197174972,5.440709996426002,37,-0.18840191383065563,0.010342368111508377
0.5,0.8,131,31,0.5710247569792914,2.45408645514067,-0.10521764197174972,5.4270818683867486,38,-0.18983583332743503,0.010342368111508377
0.5,0.9,137,25,0.5937771646608054,2.521469094978377,-0.10521764197174972,5.643323244406398,39,-0.16708342564592105,0.010342368111508377
0.55,0.6,33,84,0.5707084305615573,2.3255960897615005,-0.10521764197174972,5.424075467446694,32,-0.1901521597451692,0.010342368111508377
0.55,0.7,77,40,0.6438175209060502,2.523795342770376,-0.10521764197174972,6.1189122740358615,37,-0.11704306940067633,0.010342368111508377
0.55,0.8,86,31,0.6423185295318177,2.514823197132382,-0.10521764197174972,6.104665695742129,38,-0.11854206077490881,0.010342368111508377
0.55,0.9,92,25,0.6661034511638999,2.5781191917428607,-0.10521764197174972,6.330720197500192,39,-0.09475713914282657,0.010342368111508377
0.6,0.7,44,40,0.6356843290374357,2.446986717159596,-0.11521947262515458,5.517160550678079,37,-0.12517626126929082,0.0003405374581035153
0.6,0.8,53,31,0.6341927542920567,2.4384741636603833,-0.11275279548200821,5.624629984391419,38,-0.1266678360146698,0.0028072146012498855
0.6,0.9,59,25,0.6578599941688621,2.5006815873164143,-0.11275279548200821,5.834533781238584,39,-0.10300059613786439,0.0028072146012498855
0.65,0.7,17,40,0.6583181685510662,2.468750405863573,-0.11514737950669506,5.7171789003916444,37,-0.1025424217556603,0.00041263057656304447
0.65,0.8,26,31,0.6568067024081641,2.460466526192336,-0.1099614692346113,5.973062264262913,38,-0.1040538878985624,0.005598540848646805
0.65,0.9,32,25,0.6808014493879229,2.5216125006152303,-0.1099614692346113,6.191272762419901,39,-0.08005914091880362,0.005598540848646805
