trend_thr,trend_scale,n_trend_days,annual_return,sharpe_full,max_drawdown,calmar,ret_loss_vs_T0,dd_improve_vs_T0
0.05,0.5,394,0.2674580737430037,2.674342117389812,-0.032151492769267445,8.318682919713702,-0.4934025165637228,0.08340851731399065
0.05,0.6,394,0.3095562470041684,2.7399820664202674,-0.03600916769297333,8.596595446013984,-0.4513043433025581,0.07955084239028476
0.05,0.7,394,0.3528133138248972,2.7767735781933798,-0.041551669866426555,8.490953912539814,-0.40804727648182926,0.07400834021683154
0.05,0.8,394,0.39662756320915626,2.793557225496254,-0.04748303780055958,8.353036822856394,-0.3642330270975702,0.06807697228269852
0.05,0.9,394,0.4415459834775244,2.799448948208595,-0.05341300053384029,8.266638815727623,-0.3193146068292021,0.06214700954941781
0.08,0.5,276,0.2900997139858632,2.457367869691512,-0.057022434180421126,5.087466330672184,-0.4707608763208633,0.05853757590283697
0.08,0.6,276,0.3277796507002231,2.573492237400653,-0.05591227589178264,5.862391495825275,-0.4330809396065034,0.05964773419147546
0.08,0.7,276,0.3663756427903486,2.659848441142308,-0.05481012173317567,6.684452272774053,-0.39448494751637786,0.06074988835008243
0.08,0.8,276,0.40583396268093797,2.722480344661909,-0.05598792646603056,7.248597837020608,-0.3550266276257885,0.05957208361722754
0.08,0.9,276,0.44622590064639156,2.7672637478287365,-0.05796653305936556,7.697991877302649,-0.3146346896603349,0.05759347702389254
0.1,0.5,215,0.31838865750589895,2.5522751644354824,-0.05731250805572833,5.55530840137568,-0.4424719328008275,0.05824750202752977
0.1,0.6,215,0.350938983783077,2.6410268957347958,-0.05622397634695457,6.241802991973653,-0.4099216065236495,0.05933603373630353
0.1,0.7,215,0.38412516951244235,2.7054827609290206,-0.05514344630244413,6.965926057751974,-0.3767354207942841,0.06041656378081397
0.1,0.8,215,0.4179553091427455,2.7504806183591812,-0.05622313284317075,7.4338673070494545,-0.342905281163981,0.05933687724008735
0.1,0.9,215,0.4524374885553262,2.7803381949729005,-0.058083918525750636,7.789376130929335,-0.3084231017514003,0.057476091557507464
0.12,0.5,168,0.3492797650003554,2.641757418755999,-0.05817168662455205,6.004291525096296,-0.4115808253063711,0.05738832345870605
0.12,0.6,168,0.3762292547401911,2.7053739523031424,-0.05691230768966944,6.610683523706124,-0.3846313355665354,0.05864770239358866
0.12,0.7,168,0.40356862823487893,2.749703488680589,-0.0556604322064088,7.250547871031652,-0.35729196207184755,0.0598995778768493
0.12,0.8,168,0.43118156161060206,2.777641689579501,-0.056567493772075976,7.622426465417333,-0.3296790286961244,0.058992516311182124
0.12,0.9,168,0.45918457493040954,2.7930219680134645,-0.058255808190271145,7.88221104804953,-0.30167601537631694,0.057304201892986954
0.15,0.5,110,0.3680973376219674,2.57989969858775,-0.07156084802916467,5.143836996900164,-0.3927632526847591,0.04399916205409343
0.15,0.6,110,0.3914915268685204,2.649672856089164,-0.06765974866280333,5.786180625937605,-0.3693690634382061,0.04790026142045477
0.15,0.7,110,0.41517244285557187,2.7050500275707683,-0.06374813813642848,6.512699115495017,-0.3456881474511546,0.051811871946829624
0.15,0.8,110,0.4390221482935097,2.7469650785983815,-0.06225784085502371,7.05167641961493,-0.32183844201321676,0.053302169228234386
0.15,0.9,110,0.46315751839841157,2.7776244210188104,-0.061101974754807976,7.5800744617008755,-0.2977030719083149,0.05445803532845012
0.2,0.5,63,0.3984103502159839,2.62964505625815,-0.0633694597487014,6.287103469020002,-0.36245024009074256,0.052190550334556704
0.2,0.6,63,0.4159713443144699,2.68151440630804,-0.06268334794223336,6.6360741404210515,-0.34488924599225657,0.05287666214102474
0.2,0.7,63,0.43366889300941236,2.723642634121602,-0.061997993357380925,6.994885955575587,-0.3271916972973141,0.053562016725877175
0.2,0.8,63,0.4515028995068566,2.756674157051934,-0.061313397007906605,7.363853929812983,-0.30935769079986986,0.054246613075351495
0.2,0.9,63,0.4694732436148503,2.7813938252424553,-0.06062955990640952,7.743306142079046,-0.29138734669187616,0.054930450176848576
