strike_pct,horizon_days,annual_return,sharpe_full,max_drawdown,calmar,n_option_days,premium_cost_total,premium_cost_pct_of_base,ret_loss_vs_base,dd_improve_vs_base,payoff_total
2.0,1.0,-0.04383533334508205,-0.3441114778599232,-0.3143160193362891,-0.13946261293854798,216,0.8802627576780541,2.843627825951129,-0.35339158034925044,-0.27830685164331576,0.09318479670084516
2.0,2.0,-0.3066417628236763,-2.936963193784032,-0.6299356814122419,-0.486782653962737,216,1.6838389232408275,5.439524931371046,-0.6161980098278447,-0.5939265137192685,0.09318479670084516
2.0,3.0,-0.4697500780990357,-4.612879073647185,-0.8021771332283285,-0.5855939525582661,216,2.3517880307514223,7.5972882263292005,-0.7793063251032041,-0.7661679655353552,0.09318479670084516
3.0,1.0,0.09015890121881531,0.8507167444133702,-0.1836258649151106,0.49099238421828734,216,0.5116579546706622,1.6528755585532486,-0.21939734578535308,-0.14761669722213727,0.05302002876862144
3.0,2.0,-0.15702697690757017,-1.4366700201535128,-0.43237433213176024,-0.36317367900488207,216,1.155793599334028,3.733711112340965,-0.46658322391173856,-0.3963651644387869,0.05302002876862144
3.0,3.0,-0.3315390511327624,-3.1862070919662284,-0.6622968239639869,-0.5005898248891348,216,1.7348507177531913,5.604314997816311,-0.6410952981369308,-0.6262876562710136,0.05302002876862144
5.0,1.0,0.23175051313390216,2.0394331426971117,-0.09430040573896742,2.4575770519525637,216,0.16027737336347875,0.5177649455135063,-0.07780573387026624,-0.058291238045994086,0.007552737734788809
5.0,2.0,0.06561168537297002,0.6513364642988401,-0.18145227454876126,0.36159196976799723,216,0.5240612295427645,1.692943478332413,-0.24394456163119838,-0.14544310685578793,0.007552737734788809
5.0,3.0,-0.08916311300808755,-0.7909134718299574,-0.3630287821460973,-0.24560893624187832,216,0.917123642881638,2.9627043607014922,-0.39871936001225594,-0.32701961445312394,0.007552737734788809
7.000000000000001,1.0,0.28229919502866596,2.461416273440499,-0.060730022614149025,4.648428946293447,216,0.044304908761066894,0.14312393689302705,-0.027257051975502433,-0.02472085492117569,-0.007796448378459884
7.000000000000001,2.0,0.1938666113956542,1.7688828446439202,-0.10242344038046791,1.8927953471930479,216,0.22395467016080212,0.7234700392196782,-0.1156896356085142,-0.06641427268749459,-0.007796448378459884
7.000000000000001,3.0,0.08391218141742773,0.8235555903956124,-0.16146981986364548,0.5196771848032534,216,0.46644838331292515,1.5068291718456068,-0.22564406558674066,-0.12546065217067215,-0.007796448378459884
