variant,annual_return,sharpe_full,max_drawdown,calmar,ret_loss_vs_T0,dd_improve_vs_T0,n_gap_hold_days,pnl_downside_gap,pnl_upside_gap,pnl_extreme_gap_total
T0_exp412原版,0.7608605903067265,2.63806287446973,-0.1155600100832581,6.584116683258728,0.0,0.0,8,-0.0069201334334745845,0.11591684496054032,0.10899671152706573
T1_波动率隔夜降仓,0.4875797812624989,2.7986662281593575,-0.059946483064319656,8.133584429621159,-0.2732808090442276,0.055613527018938444,7,-0.0034600667167372923,0.04022208904626231,0.03676202232952502
T2_波动率+趋势降权,0.3095562470041684,2.7399820664202674,-0.03600916769297333,8.596595446013984,-0.4513043433025581,0.07955084239028476,7,-0.0020760400300423795,0.034503623798127755,0.032427583768085376
T3_叠加期权对冲,0.28229919502866596,2.461416273440499,-0.060730022614149025,4.648428946293447,-0.4785613952780605,0.054829987469109075,7,-0.0020760400300423795,0.034503623798127755,0.032427583768085376
