variety,annual_return,sharpe,max_drawdown,calmar,win_rate,n_trades
碳酸锂HAM-only,0.9098937362231017,2.597621882047032,-0.15417983439304994,5.9015093627842,0.4,40
沪锌HAM-only,0.1419057268881303,1.7139130006195913,-0.03836926975351292,3.6984213616715507,0.4444444444444444,27
沪锌HAM+exp412风控,0.1419057268881303,1.7139130006195913,-0.03836926975351292,3.6984213616715507,0.4444444444444444,27
