date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max,close
2024-09-02,42448.0,-550.0,-1300.0,0.5015527305113068,229216.0,3,0.8742,75200.0
2024-09-03,42888.0,-850.0,-900.0,0.4410267085660741,233484.0,3,0.5339,74900.0
2024-09-04,43707.0,250.0,-750.0,0.3956715866171447,234032.0,3,0.5622,73600.0
2024-09-05,43237.0,2750.0,-750.0,0.4253624925178997,245150.0,3,0.5005,70750.0
2024-09-06,43447.0,1400.0,-650.0,0.4438633417965885,239300.0,3,0.5797,71200.0
2024-09-09,43692.0,-900.0,-900.0,0.4448312334467599,234926.0,3,0.5551,73150.0
2024-09-10,43582.0,300.0,-250.0,0.4423052633962627,236989.0,3,0.8381,72150.0
2024-09-11,43492.0,-5050.0,-2000.0,0.4780132711798675,254596.0,3,0.9994,78450.0
2024-09-12,42511.0,-3150.0,50.0,0.4773091655411787,246549.0,3,0.9029,76950.0
2024-09-13,42190.0,-3250.0,-2400.0,0.4840846673788166,239306.0,3,0.9999,77550.0
2024-09-18,42034.0,-1000.0,-2300.0,0.4775638173638838,231645.0,3,0.9998,75300.0
2024-09-19,41897.0,-1650.0,-2350.0,0.4782886353583108,226801.0,3,0.9999,75700.0
2024-09-20,41762.0,-1100.0,-2550.0,0.4599817551069098,225720.0,3,1.0,75300.0
2024-09-23,42188.0,-850.0,-2000.0,0.4595532737525264,221399.0,3,0.9978,74850.0
2024-09-24,42233.0,-2150.0,-2150.0,0.4592132975413,231192.0,3,0.9994,76800.0
2024-09-26,42863.0,-2000.0,-2600.0,0.4656251391031939,222721.0,3,1.0,77050.0
2024-09-27,43563.0,-1400.0,-2500.0,0.4713577543205238,222019.0,3,1.0,76950.0
2024-09-30,43563.0,-4100.0,-3350.0,0.507204325087883,217601.0,0,1.0,79750.0
2024-10-08,44683.0,600.0,-2500.0,0.4846816343312692,211822.0,3,1.0,76650.0
2024-10-09,44753.0,600.0,-2250.0,0.4867537233788506,210574.0,3,0.9998,76400.0
2024-10-10,44693.0,3250.0,-2500.0,0.4930479017914659,211131.0,1,1.0,73700.0
2024-10-11,44087.0,2550.0,-4350.0,0.4907214751330832,198642.0,0,1.0,73900.0
2024-10-14,45084.0,2750.0,-3550.0,0.4479869737254339,199837.0,1,1.0,73100.0
2024-10-15,45189.0,2200.0,-3750.0,0.4076208548557963,186900.0,0,1.0,73400.0
2024-10-16,45059.0,4250.0,-2850.0,0.4462263503597686,188680.0,0,1.0,71150.0
2024-10-17,44969.0,6100.0,-3050.0,0.5374949120611768,181603.0,0,1.0,68600.0
2024-10-18,44341.0,3000.0,-3500.0,0.5603269858954655,160820.0,0,1.0,70650.0
2024-10-21,43439.0,1050.0,-2050.0,0.5635298316769288,194121.0,1,0.997,72450.0
2024-10-22,43052.0,-400.0,-3650.0,0.5483434354327662,207436.0,1,1.0,73750.0
2024-10-23,43499.0,-1600.0,-3750.0,0.5481920285561801,216843.0,1,1.0,75250.0
2024-10-24,43340.0,-900.0,-3300.0,0.5454172208144474,221888.0,1,1.0,74200.0
2024-10-25,43416.0,-1400.0,-3550.0,0.5440402208111196,231011.0,1,1.0,74700.0
2024-10-28,44215.0,-3000.0,-3800.0,0.552919721700595,226101.0,1,1.0,76600.0
2024-10-29,44345.0,-850.0,-3600.0,0.5422971602507959,224862.0,1,1.0,74900.0
2024-10-30,44405.0,0.0,-3650.0,0.5354907746311524,223987.0,1,1.0,73850.0
2024-10-31,44852.0,-1150.0,-1900.0,0.5197765063887478,235041.0,1,0.9979,74850.0
2024-11-01,45161.0,-2650.0,-1500.0,0.5149254428035132,232925.0,1,0.9524,76500.0
2024-11-04,46522.0,-2650.0,-1250.0,0.4676209304975845,235708.0,1,0.8021,77250.0
2024-11-05,47861.0,-2400.0,-1350.0,0.4771024152904891,235236.0,1,0.8731,77350.0
2024-11-06,47881.0,-950.0,-1900.0,0.4722537145388019,226178.0,1,0.9967,75900.0
2024-11-07,48301.0,-1900.0,-1250.0,0.4887484563453438,231268.0,0,0.7838,76850.0
2024-11-08,47959.0,-1000.0,-1850.0,0.4985418247162108,229434.0,0,0.9968,76400.0
2024-11-11,49106.0,-5450.0,-2450.0,0.5748192284247644,273799.0,0,1.0,80950.0
2024-11-12,48926.0,-4450.0,-2850.0,0.637524708944819,285848.0,0,1.0,81150.0
2024-11-13,50196.0,-8300.0,-2100.0,0.7739462108358434,322905.0,1,0.9989,86500.0
2024-11-14,50166.0,-2050.0,1250.0,0.7129115783793284,293494.0,1,0.9991,81000.0
2024-11-15,49719.0,400.0,-150.0,0.6547108758044632,276214.0,3,0.9853,78300.0
2024-11-18,53115.0,-2500.0,-100.0,0.6404962289777066,276906.0,3,0.9068,80950.0
2024-11-19,53335.0,-3900.0,-200.0,0.6564893607970083,285988.0,3,0.893,82650.0
2024-11-20,52988.0,-3650.0,-100.0,0.6786587309728589,284814.0,3,0.9465,82700.0
2024-11-21,53287.0,-2550.0,-450.0,0.670940026030685,277950.0,3,0.8186,81950.0
2024-11-22,53317.0,-400.0,-200.0,0.6468938331399106,267851.0,3,0.8422,79500.0
2024-11-25,53300.0,-1250.0,-300.0,0.6423127543048132,260097.0,3,0.8142,80350.0
2024-11-26,52556.0,250.0,-450.0,0.6133926355597573,255424.0,3,0.5647,78650.0
2024-11-27,50385.0,100.0,-450.0,0.5604648107081647,246898.0,0,0.6013,78500.0
2024-11-28,49829.0,-300.0,-400.0,0.5201323005805473,242286.0,0,0.6983,78500.0
2024-11-29,21706.0,-350.0,-850.0,0.5026355029670089,240854.0,1,1.0,78550.0
2024-12-02,22966.0,100.0,-850.0,0.4942595751172163,239434.0,1,0.9999,78300.0
2024-12-03,23096.0,250.0,-1000.0,0.4885991261697894,230115.0,1,0.9995,78000.0
2024-12-04,27686.0,1800.0,-500.0,0.4821274021617204,217701.0,3,0.9993,76300.0
2024-12-05,29446.0,600.0,-450.0,0.4868564598493037,207470.0,0,0.9841,76500.0
2024-12-06,34694.0,250.0,-800.0,0.4833109893475322,197237.0,0,0.7968,76650.0
2024-12-09,36941.0,-300.0,-700.0,0.4972514262601861,187549.0,0,0.8937,76800.0
2024-12-10,38784.0,50.0,1000.0,0.5082275585675943,178957.0,0,0.977,76600.0
2024-12-11,39827.0,-100.0,-650.0,0.4103083014769887,168290.0,0,0.9975,76650.0
2024-12-12,41633.0,-500.0,-950.0,0.405260462489339,159582.0,0,0.9998,77050.0
2024-12-13,42268.0,600.0,200.0,0.4250081207718611,147208.0,0,1.0,75800.0
2024-12-16,42885.0,0.0,-700.0,0.4240368807461394,137204.0,0,1.0,76000.0
2024-12-17,44255.0,700.0,-500.0,0.3960056943217199,125218.0,0,1.0,75200.0
2024-12-18,46453.0,1490.0,-600.0,0.362976586777347,113130.0,0,1.0,74360.0
2024-12-19,46353.0,1580.0,-600.0,0.3368083623453756,101059.0,0,1.0,73920.0
2024-12-20,47721.0,-2330.0,-480.0,0.320057462287004,144633.0,0,1.0,77880.0
2024-12-23,48341.0,-1630.0,-500.0,0.2802522776989972,151398.0,0,1.0,77180.0
2024-12-24,49609.0,-2600.0,-520.0,0.274900437523399,160753.0,0,1.0,78200.0
2024-12-25,50425.0,-1900.0,-380.0,0.2656318699509392,163546.0,0,1.0,77500.0
2024-12-26,51565.0,-1920.0,-480.0,0.2557475249346899,163310.0,0,1.0,77520.0
2024-12-27,52086.0,-950.0,-560.0,0.2411399532144594,171752.0,0,1.0,76500.0
2024-12-30,52406.0,-3270.0,-800.0,0.2414310454287837,181438.0,0,1.0,78320.0
2024-12-31,53356.0,-2050.0,-860.0,0.2339015017760542,183715.0,0,1.0,77100.0
2025-06-17,31713.0,590.0,-200.0,0.1937100076251385,307335.0,0,1.0,59860.0
2025-06-18,29967.0,570.0,40.0,0.1953460114115397,306885.0,0,1.0,59880.0
2025-06-19,29957.0,390.0,-20.0,0.1922266599648157,307261.0,0,1.0,60060.0
2025-06-20,27793.0,1500.0,-60.0,0.1804407179063722,354347.0,0,1.0,58900.0
2025-06-23,26779.0,830.0,-140.0,0.1855540726107029,356954.0,0,1.0,59120.0
