state,n_days,warehouse_stock_mean,warehouse_stock_median,warehouse_stock_p25,warehouse_stock_p75,warehouse_stock_z_mean,basis_spot_main_mean,basis_spot_main_median,basis_spot_main_p25,basis_spot_main_p75,basis_spot_main_z_mean,spread_near1_near3_mean,spread_near1_near3_median,spread_near1_near3_p25,spread_near1_near3_p75,spread_near1_near3_z_mean,hv_20d_mean,hv_20d_median,hv_20d_p25,hv_20d_p75,hv_20d_z_mean,oi_main_mean,oi_main_median,oi_main_p25,oi_main_p75,oi_main_z_mean
0,60,35527.066666666666,39788.0,23120.0,46378.0,0.1144516599604026,-226.66666666666666,-515.0,-1777.5,600.0,0.2559166865006072,-714.1666666666666,-425.0,-815.0,-35.0,0.13244905839460722,0.4657307960678684,0.4064406586725676,0.26468521835873443,0.49457668665711024,-0.8139700907929435,254445.18333333332,250194.5,180817.75,326730.75,-0.837916087369338
1,125,37414.528,39354.0,27523.0,49115.0,0.2618137079651859,-1093.68,-1120.0,-3750.0,1850.0,0.07934631216618938,-1695.28,-1280.0,-3650.0,140.0,-0.4730901984100083,0.752765217184419,0.7479733351492208,0.6297432613667832,0.85300928331419,-0.17841582053087676,362765.352,411638.0,258584.0,447264.0,0.04944339951763755
2,26,29253.19230769231,30542.0,25150.0,36696.25,-0.37537610929535137,1161.923076923077,1200.0,237.5,2627.5,0.5387079670913413,155.3846153846154,100.0,5.0,320.0,0.6691326597660089,0.8817803714639203,1.0000498552454595,0.531107845444103,1.2941273299322675,0.10725072744582624,324085.76923076925,350409.0,288501.25,364103.25,-0.2674199800504653
3,129,31098.93023255814,32078.0,23555.0,38759.0,-0.23127158334568373,-2978.4496124031007,-2590.0,-5380.0,250.0,-0.30449377794717036,-504.3410852713178,-240.0,-920.0,60.0,0.26195257475704165,1.0726417969707824,1.0436457429539014,0.645312159608747,1.505375609879788,0.5298578612429826,405035.01550387597,392675.0,285988.0,511071.0,0.3957167425098272
