date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main
2023-12-13,710.0,5450.0,5450.0,2.2576523700099913,172000
2023-12-14,1010.0,3950.0,1300.0,2.0949415886778175,161651
2023-12-15,1240.0,-100.0,900.0,1.9156257034500306,159950
2023-12-18,1540.0,250.0,850.0,1.7035557303097024,159746
2023-12-19,1840.0,100.0,400.0,1.5053715844511235,159563
2023-12-20,2080.0,200.0,-500.0,1.368719045260714,162654
2023-12-21,2580.0,2400.0,-400.0,1.202628839566748,158076
2023-12-22,3550.0,-1300.0,-550.0,0.9780004850495191,155842
2023-12-25,4360.0,-3850.0,-850.0,0.8360287837864268,159077
2023-12-26,5160.0,-8600.0,-900.0,0.7562112116936651,155209
2023-12-27,5950.0,-8700.0,-500.0,0.7087918266140778,150793
2023-12-28,6710.0,-9550.0,-1000.0,0.7122600968566798,152061
2023-12-29,7530.0,-10800.0,-1250.0,0.7530297396658234,142958
2024-01-02,8240.0,-11450.0,-1050.0,0.7777448802126462,145602
2024-01-03,9040.0,-9700.0,250.0,0.7336439740620841,141743
2024-01-04,9718.0,-3550.0,-1150.0,0.6452281532446016,148982
2024-01-05,10740.0,-2150.0,-700.0,0.6116098673915271,154263
2024-01-08,10975.0,-900.0,-800.0,0.6385535924099643,157724
2024-01-09,11440.0,-2950.0,300.0,0.6190472321627837,162038
2024-01-10,11427.0,-1900.0,-200.0,0.541278194958497,159002
2024-01-11,11588.0,-8700.0,-700.0,0.5451032097748822,157286
2024-01-12,13238.0,-6650.0,-550.0,0.5451479093450423,155914
2024-01-15,13268.0,-5750.0,0.0,0.5411007107890085,156970
2024-01-16,13268.0,-7650.0,-4700.0,0.5438907931815915,159478
2024-01-17,13418.0,-5250.0,-4300.0,0.5441436201489332,156573
2024-01-18,13546.0,-5900.0,-3950.0,0.5404706810766715,154594
2024-01-19,13554.0,-4900.0,-4300.0,0.5105541322815307,155078
2024-01-22,13700.0,-3350.0,-4000.0,0.5163340956434566,152252
2024-01-23,13950.0,-5500.0,-3800.0,0.5170384775926818,148288
2024-01-24,14134.0,-5850.0,-3900.0,0.4943501875347637,148399
2024-01-25,14134.0,-4850.0,-3050.0,0.48278818155894515,149167
2024-01-26,14454.0,-4150.0,-3350.0,0.46194859291883955,148248
2024-01-29,14894.0,-5200.0,-3600.0,0.4171997151014554,144728
2024-01-30,14987.0,-4250.0,-3350.0,0.34797007410371805,141118
2024-01-31,14987.0,-2400.0,-3150.0,0.30323296459355836,150388
2024-02-01,15317.0,-2550.0,-3000.0,0.3066540365024803,145032
2024-02-02,15587.0,-3100.0,-3500.0,0.29639687825932065,135549
2024-02-05,15924.0,-3400.0,-3350.0,0.26156278770931524,132983
2024-02-06,16054.0,-100.0,-1500.0,0.2882227036730974,142239
2024-02-07,16894.0,-600.0,-3300.0,0.291992998714323,136452
2024-02-08,16914.0,750.0,-3450.0,0.3090624145219183,138228
2024-02-19,16790.0,2150.0,-3000.0,0.3640169269029596,148907
2024-02-20,16240.0,3950.0,-2300.0,0.4469907194630534,173155
2024-02-21,16232.0,-750.0,2950.0,0.4294716359653769,165643
2024-02-22,16151.0,-1500.0,-3000.0,0.42532322168198994,166013
2024-02-23,15709.0,-5550.0,-3650.0,0.4202682005828582,173784
2024-02-26,15639.0,-5650.0,-2900.0,0.427180419737119,179602
2024-02-27,15689.0,-9550.0,-3850.0,0.4950153068293549,191979
2024-02-28,15355.0,-10000.0,-3100.0,0.5652441862230978,190062
2024-02-29,15755.0,-19700.0,-4350.0,0.8341977552225729,209410
2024-03-01,15520.0,-16950.0,-3400.0,1.0258585106049827,205233
2024-03-04,15330.0,-11600.0,-4750.0,1.1461511851510993,208233
2024-03-05,15477.0,-4050.0,-2000.0,1.1852539314434973,202406
2024-03-06,13415.0,-6500.0,-3150.0,1.2370431516710914,212004
2024-03-07,13522.0,-4500.0,-1250.0,1.2646419730422291,215643
2024-03-08,13466.0,-4450.0,-4100.0,1.2879203395651522,217323
2024-03-11,13750.0,-7150.0,-3450.0,1.3275709406037302,229549
2024-03-12,14426.0,-9850.0,-4750.0,1.3855993484350984,229075
2024-03-13,14721.0,-7800.0,-1950.0,1.3938143536384635,226877
