date,close,open,high,low,volume,position,P_fund,basis,spot_avg,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2023-08-07,219800.0,227500.0,228800.0,219500.0,29799,12270,219800.0,31200.0,256500.0,0.0,-4575.0,0.0,0.0,0.5,0.5,-2287.5,0.0,0
2023-08-08,217000.0,219200.0,221450.0,216300.0,30145,13918,217000.0,34600.0,253000.0,0.0,-1400.0,0.0,0.0,0.5,0.5,-700.0,0.0,0
2023-08-09,217800.0,217450.0,218200.0,215200.0,25550,13673,217800.0,32150.0,249000.0,0.0,400.0,0.0,0.0,0.5,0.5,200.0,0.0,0
2023-08-10,210500.0,217450.0,219000.0,210050.0,32365,17113,210500.0,31000.0,247000.0,0.0,-3650.0,0.0,0.0,0.5,0.5,-1825.0,0.0,0
2023-08-11,208800.0,210000.0,211700.0,205300.0,51821,18289,208800.0,36400.0,244000.0,0.0,-850.0,0.0,0.0,0.5,0.5,-425.0,0.0,0
2023-08-14,196750.0,207200.0,207500.0,196750.0,51678,23419,196750.0,37150.0,239500.0,0.0,-6025.0,0.0,0.0,0.5,0.5,-3012.5,0.0,0
2023-08-15,194500.0,196000.0,198050.0,193400.0,78365,25479,194500.0,39050.0,234000.0,0.0,-1125.0,0.0,0.0,0.5,0.5,-562.5,0.0,0
2023-08-16,196250.0,194000.0,200300.0,192050.0,76180,24567,196250.0,31700.0,230000.0,0.0,875.0,0.0,0.0,0.5,0.5,437.5,0.0,0
2023-08-17,194000.0,196000.0,198350.0,192250.0,67975,26791,194000.0,32200.0,226500.0,0.0,-1125.0,0.0,0.0,0.5,0.5,-562.5,0.0,0
2023-08-18,195750.0,195200.0,197700.0,194600.0,42991,24198,195750.0,27900.0,225000.0,0.0,875.0,0.0,15890000.0,7.124576406741286e-218,1.0,875.0,-1.0,1
2023-08-21,201150.0,198000.0,203500.0,196200.0,58940,22723,201150.0,26250.0,225000.0,0.0,2700.0,0.0,20615000.0,7.124576406741286e-218,1.0,2700.0,-1.0,1
2023-08-22,198300.0,201200.0,204350.0,197100.0,54479,22567,198300.0,23350.0,225000.0,0.0,-1425.0,0.0,39745000.0,7.124576406741286e-218,1.0,-1425.0,-1.0,1
2023-08-23,200000.0,198300.0,200200.0,195600.0,40847,23417,200000.0,26850.0,225000.0,0.0,850.0,0.0,23547500.0,7.124576406741286e-218,1.0,850.0,-1.0,1
2023-08-24,199450.0,200500.0,203000.0,197300.0,36416,22465,199450.0,24850.0,225000.0,0.0,-275.0,0.0,25835000.0,7.124576406741286e-218,1.0,-275.0,-1.0,1
2023-08-25,194250.0,199700.0,200950.0,194200.0,37956,24946,194250.0,24200.0,223000.0,0.0,-2600.0,0.0,31615000.0,7.124576406741286e-218,1.0,-2600.0,-1.0,1
2023-08-28,185500.0,195500.0,197900.0,183450.0,82851,29278,185500.0,26300.0,220000.0,0.0,-4375.0,0.0,54140000.0,7.124576406741286e-218,1.0,-4375.0,-1.0,1
2023-08-29,186350.0,185200.0,188700.0,180700.0,76982,29393,186350.0,29600.0,214500.0,0.0,425.0,0.0,50395000.0,7.124576406741286e-218,1.0,425.0,-1.0,1
2023-08-30,186100.0,188100.0,188800.0,184600.0,59287,29534,186100.0,24550.0,210500.0,0.0,-125.0,0.0,50262500.0,7.124576406741286e-218,1.0,-125.0,-1.0,1
2023-08-31,186850.0,186800.0,187200.0,180850.0,77568,29530,186850.0,21800.0,208000.0,0.0,375.0,0.0,50086250.0,7.124576406741286e-218,1.0,375.0,-1.0,1
2023-09-01,186750.0,187900.0,190650.0,185300.0,75908,29406,186750.0,16700.0,205500.0,0.0,-50.0,0.0,50433750.0,7.124576406741286e-218,1.0,-50.0,-1.0,1
2023-09-04,189900.0,187700.0,191900.0,187150.0,65613,28964,189900.0,16450.0,205500.0,0.0,1575.0,0.0,47073750.0,7.124576406741286e-218,1.0,1575.0,-1.0,1
2023-09-05,190450.0,191350.0,193900.0,188700.0,65380,29405,190450.0,12700.0,203000.0,0.0,275.0,0.0,35130000.0,7.124576406741286e-218,1.0,275.0,-1.0,1
2023-09-06,190550.0,191000.0,192450.0,189500.0,44433,30278,190550.0,8900.0,200500.0,0.0,50.0,0.0,36277500.0,7.124576406741286e-218,1.0,50.0,-1.0,1
2023-09-07,184700.0,190000.0,190100.0,183250.0,61590,32985,184700.0,13000.0,199000.0,0.0,-2925.0,0.0,38905000.0,7.124576406741286e-218,1.0,-2925.0,-1.0,1
2023-09-08,176500.0,183200.0,184100.0,175550.0,112910,38903,176500.0,18700.0,197500.0,0.0,-4100.0,0.0,56685000.0,7.124576406741286e-218,1.0,-4100.0,-1.0,1
2023-09-11,178650.0,176900.0,179500.0,170750.0,83768,41553,178650.0,16650.0,194000.0,0.0,1075.0,0.0,37627500.0,7.124576406741286e-218,1.0,1075.0,-1.0,1
2023-09-12,177750.0,178850.0,181850.0,176950.0,86982,44536,177750.0,9800.0,191000.0,0.0,-450.0,0.0,23103750.0,7.124576406741286e-218,1.0,-450.0,-1.0,1
2023-09-13,176050.0,177000.0,179250.0,174900.0,73753,45820,176050.0,11600.0,189000.0,0.0,-850.0,0.0,25837500.0,7.124576406741286e-218,1.0,-850.0,-1.0,1
2023-09-14,169150.0,175200.0,176100.0,169150.0,127527,52682,169150.0,16400.0,188500.0,0.0,-3450.0,0.0,33671250.0,7.124576406741286e-218,1.0,-3450.0,-1.0,1
2023-09-15,170100.0,170500.0,171300.0,167000.0,112996,52203,170100.0,18050.0,185500.0,0.0,475.0,0.0,32362500.0,7.124576406741286e-218,1.0,475.0,-1.0,1
2023-09-18,167150.0,169500.0,171000.0,166400.0,81843,55569,167150.0,13400.0,183000.0,0.0,-1475.0,0.0,26236250.0,7.124576406741286e-218,1.0,-1475.0,-1.0,1
2023-09-19,159400.0,166400.0,167250.0,158900.0,129369,64943,159400.0,15650.0,180000.0,0.0,-3875.0,0.0,45362500.0,7.124576406741286e-218,1.0,-3875.0,-1.0,1
2023-09-20,154150.0,158450.0,159700.0,153100.0,204819,70230,154150.0,18800.0,176500.0,0.0,-2625.0,0.0,68128750.0,7.124576406741286e-218,1.0,-2625.0,-1.0,1
2023-09-21,159950.0,153600.0,160500.0,153100.0,220010,66110,159950.0,19600.0,173500.0,0.0,2900.0,0.0,53371250.0,7.124576406741286e-218,1.0,2900.0,-1.0,1
2023-09-22,156150.0,160000.0,161950.0,154650.0,251819,64039,156150.0,12800.0,172000.0,0.0,-1900.0,0.0,40921250.0,7.124576406741286e-218,1.0,-1900.0,-1.0,1
2023-09-25,158750.0,156000.0,160500.0,155750.0,193857,62330,158750.0,11650.0,171000.0,0.0,1300.0,0.0,13231250.0,7.124576406741286e-218,1.0,1300.0,-1.0,1
2023-09-26,149100.0,158000.0,158300.0,149100.0,268584,69608,149100.0,12900.0,170000.0,0.0,-4825.0,0.0,4405000.0,7.124576406741286e-218,1.0,-4825.0,-1.0,1
2023-09-27,148450.0,149000.0,151900.0,145000.0,322018,64804,148450.0,19400.0,169000.0,0.0,-325.0,0.0,7647500.0,7.124576406741286e-218,1.0,-325.0,-1.0,1
2023-09-28,150000.0,150000.0,152500.0,147750.0,197277,60869,150000.0,19200.0,169000.0,0.0,775.0,0.0,7237500.0,7.124576406741286e-218,1.0,775.0,-1.0,1
2023-10-09,151900.0,150000.0,153300.0,148500.0,111723,65157,151900.0,19150.0,169000.0,0.0,950.0,0.0,8747500.0,7.124576406741286e-218,1.0,950.0,-1.0,1
2023-10-10,151900.0,152600.0,155300.0,150800.0,182713,71144,151900.0,14950.0,169000.0,0.0,0.0,0.0,8905000.0,7.124576406741286e-218,1.0,0.0,-1.0,1
2023-10-11,155900.0,152900.0,156000.0,152350.0,150353,74313,155900.0,14100.0,169000.0,0.0,2000.0,0.0,8038750.0,7.124576406741286e-218,1.0,2000.0,-1.0,1
2023-10-12,164950.0,157100.0,164950.0,156350.0,221805,75862,164950.0,9550.0,169500.0,0.0,4525.0,0.0,26111250.0,7.124576406741286e-218,1.0,4525.0,-1.0,1
2023-10-13,170250.0,167500.0,171000.0,166000.0,284415,64239,170250.0,1550.0,170500.0,0.0,2650.0,0.0,50386250.0,7.124576406741286e-218,1.0,2650.0,-1.0,1
2023-10-16,168900.0,171150.0,175050.0,164800.0,374351,66260,168900.0,1950.0,173000.0,0.0,-675.0,0.0,22823750.0,7.124576406741286e-218,1.0,-675.0,-1.0,1
2023-10-17,169150.0,168650.0,171500.0,165450.0,291639,68624,169150.0,4700.0,173000.0,0.0,125.0,0.0,31470000.0,7.124576406741286e-218,1.0,125.0,-1.0,1
2023-10-18,165900.0,170150.0,171550.0,165500.0,265336,67659,165900.0,4900.0,173500.0,0.0,-1625.0,0.0,32031250.0,7.124576406741286e-218,1.0,-1625.0,-1.0,1
2023-10-19,159450.0,164750.0,167050.0,157050.0,319221,67712,159450.0,7450.0,173500.0,0.0,-3225.0,0.0,41747500.0,7.124576406741286e-218,1.0,-3225.0,-1.0,1
2023-10-20,151950.0,157000.0,160150.0,151700.0,368332,72387,151950.0,14350.0,172500.0,0.0,-3750.0,0.0,60070000.0,7.124576406741286e-218,1.0,-3750.0,-1.0,1
2023-10-23,150800.0,152000.0,152600.0,148150.0,360929,77018,150800.0,21000.0,171000.0,0.0,-575.0,0.0,67660000.0,7.124576406741286e-218,1.0,-575.0,-1.0,1
