group,n_days,total_return,annual_return,sharpe,max_drawdown
极端段日,70,0.1219720353559004,0.5083678211724996,2.4977166436461737,-0.04251574964348925
非极端段日,558,0.6852306002653721,0.26342620922896787,2.041753322563258,-0.05757202377196729
全样本,628,0.8907816066237855,0.28862909717477203,2.092271308070871,-0.06830073619489901
