gap_thr,n_filtered,full_ann,full_dd,extreme_dd,extreme_total
0.0,0,0.28862909717477203,-0.06830073619489901,-0.04251574964348925,0.1219720353559004
0.05,8,0.2874903298899072,-0.06691171024409025,-0.042493487298812596,0.11784256275591454
0.08,5,0.28891670136365755,-0.06913331852910425,-0.042493487298812596,0.12363136558077281
0.1,1,0.28862909717477203,-0.06830073619489901,-0.04251574964348925,0.1219720353559004
