slip_bp,full_ann,full_calmar,full_dd,extreme_dd,extreme_total
10.0,0.28862909717477203,4.225856312165608,-0.06830073619489901,-0.04251574964348925,0.1219720353559004
20.0,0.24355186133447648,3.221484053735963,-0.07560237991928868,-0.04498460940025141,0.10763468175878499
30.0,0.1999976440762432,2.4123226060421703,-0.08290667408053423,-0.04745034446335664,0.09346544372323051
50.0,0.1172610745509759,1.2044318903497768,-0.09735799549190144,-0.05237244816924506,0.06562411050356776
