n_days,total_return,annual_return,sharpe,max_drawdown,final_eq,start_date,end_date,count
3,-0.03923266638487799,-0.9643943398991153,-15.823783676132072,-0.009603624664199863,0.960767333615122,2025-07-24,2025-07-28,3
51,0.032737808802460355,0.1710590874326856,2.770334659116692,-0.013022131026812,1.0327378088024604,2025-12-22,2026-03-12,51
3,0.018361211955420842,3.5549901034399394,8.353171231770784,-0.006110999633391509,1.0183612119554208,2026-05-11,2026-05-13,3
