start_idx,end_idx,count,start_date,end_date,peak_vol_ann,peak_abs_mom20,peak_abs_ret
354,356,3,2025-07-24,2025-07-28,0.5956774494044434,0.27203791469194316,0.10521764197174978
455,505,51,2025-12-22,2026-03-12,1.1778072781597955,0.7087597216537045,0.12300895244738984
543,545,3,2026-05-11,2026-05-13,0.4082121074580115,0.3366762177650431,0.04304029304029304
