date,F1_kaigong_20d,F2_paichan_20d,F3_inventory_surprise,F4_spot_premium,F5_term_structure,F6_crowding,ret_1d,ret_5d,close
2023-07-21,,,,0.36738726173872616,3500.0165406427222,,-0.017201301720130124,0.059507205950720676,215100.0
2023-07-24,,,,0.3505203405865657,12000.011283851554,,0.06859035004730374,0.07876064333017974,211400.0
2023-07-25,,,,0.25719344842850816,12100.00748362956,,0.008410801239486565,0.01106684373616651,225900.0
2023-07-26,,,,0.237928007023705,8700.004335919672,,-0.012730465320456519,0.0032923617208078237,227800.0
2023-07-27,,,,0.24722098710538018,7399.997471264368,,0.013339261894175225,0.021120497999110643,224900.0
2023-07-28,,,,0.22202720491443614,7449.9990927648,,0.0006581834137779907,0.004607283896445713,227900.0
2023-07-31,,,,0.21683841262880948,7750.003404448479,,0.0015347511510632739,-0.036176277132207835,228050.0
2023-08-01,,,,0.19964973730297722,6949.99841950779,,0.0006567425569177221,-0.049912434325744326,228400.0
2023-08-02,,,,0.17698534237584773,7400.003391363328,,0.004812951214176353,-0.047035659593086865,228550.0
2023-08-03,,,,0.15828434574352276,7200.000674308833,0.2,-0.003048116699325032,-0.08338776398867842,229650.0
2023-08-04,,,,0.14653854553395937,7700.004519774011,0.09090909090909091,-0.03996505787289806,-0.0880104826381306,228950.0
2023-08-07,,,,0.16696997270245678,6700.000234631629,0.4166666666666667,-0.01273885350318471,-0.10486806187443132,219800.0
2023-08-08,,,,0.16589861751152074,6599.99786121673,0.46153846153846156,0.0036866359447005337,-0.10368663594470051,217000.0
2023-08-09,,,,0.14325068870523416,6349.998817687397,0.3316326530612245,-0.03351698806244263,-0.09894398530762172,217800.0
2023-08-10,,,,0.17339667458432304,6350.00293901543,0.5333333333333333,-0.008076009501187698,-0.07838479809976251,210500.0
2023-08-11,,,,0.1685823754789272,6150.00074019245,0.8125,-0.05771072796934862,-0.0625,208800.0
2023-08-14,,,,0.21728081321473952,5699.998168018843,0.7647058823529411,-0.01143583227445999,0.022363405336721653,196750.0
2023-08-15,,,,0.20308483290488433,6950.001332977872,0.9444444444444444,0.008997429305912519,0.01953727506426728,194500.0
