date,basis,spot_avg
2007-11-14,,36000.0
2007-11-15,,36000.0
2007-11-16,,36000.0
2007-11-19,,36000.0
2007-11-20,,36000.0
2007-11-21,,36000.0
2007-11-22,,36000.0
2007-11-23,,36000.0
2007-11-26,,36000.0
2007-11-27,,36000.0
2007-11-28,,36000.0
2007-11-29,,36000.0
2007-11-30,,36000.0
2007-12-03,,36000.0
2007-12-04,,36000.0
2007-12-05,,36000.0
2007-12-06,,36000.0
2007-12-07,,36000.0
2007-12-10,,36000.0
2007-12-11,,36000.0
2007-12-12,,36000.0
2007-12-13,,36000.0
2007-12-14,,36000.0
2007-12-17,,36000.0
2007-12-18,,36000.0
2007-12-19,,36000.0
2007-12-20,,36000.0
2007-12-21,,36000.0
2007-12-24,,36000.0
2007-12-25,,36000.0
2007-12-26,,36000.0
2007-12-27,,36000.0
2007-12-28,,36000.0
2008-01-02,,36000.0
2008-01-03,,36000.0
2008-01-04,,36000.0
2008-01-07,,36000.0
2008-01-08,,36000.0
2008-01-09,,36000.0
2008-01-10,,36000.0
2008-01-11,,36000.0
2008-01-14,,36000.0
2008-01-15,,36000.0
2008-01-16,,36000.0
2008-01-17,,36000.0
2008-01-18,,36000.0
2008-01-21,,52500.0
2008-01-22,,52500.0
2008-01-23,,52500.0
2008-01-24,,52500.0
2008-01-25,,52500.0
2008-01-28,,52500.0
2008-01-29,,52500.0
2008-01-30,,52500.0
2008-01-31,,52500.0
2008-02-01,,52500.0
2008-02-04,,52500.0
2008-02-05,,52500.0
2008-02-13,,52500.0
2008-02-14,,52500.0
2008-02-15,,52500.0
2008-02-18,,52500.0
2008-02-19,,52500.0
2008-02-20,,52500.0
2008-02-21,,52500.0
2008-02-22,,52500.0
2008-02-25,,52500.0
2008-02-26,,52500.0
2008-02-27,,52500.0
2008-02-28,,52500.0
2008-02-29,,58500.0
2008-03-03,,58500.0
2008-03-04,,58500.0
2008-03-05,,58500.0
2008-03-06,,58500.0
2008-03-07,,58500.0
2008-03-10,,58500.0
2008-03-11,,58500.0
2008-03-12,,58500.0
2008-03-13,,58500.0
2008-03-14,,58500.0
2008-03-17,,58500.0
2008-03-18,,58500.0
2008-03-19,,58500.0
2008-03-20,,58500.0
2008-03-21,,58500.0
2008-03-24,,58500.0
2008-03-25,,58500.0
2008-03-26,,58500.0
2008-03-27,,58500.0
2008-03-28,,58500.0
2008-03-31,,58500.0
2008-04-01,,58500.0
2008-04-02,,58500.0
2008-04-03,,58500.0
2008-04-07,,58500.0
2008-04-08,,58500.0
2008-04-09,,58500.0
2008-04-10,,58500.0
2008-04-11,,58500.0
2008-04-14,,58500.0
2008-04-15,,58500.0
2008-04-16,,58500.0
2008-04-17,,58500.0
2008-04-18,,58500.0
2008-04-21,,58500.0
2008-04-22,,58500.0
2008-04-23,,58500.0
2008-04-24,,58500.0
2008-04-25,,58500.0
2008-04-28,,58500.0
2008-04-29,,58500.0
2008-04-30,,58500.0
2008-05-05,,58500.0
2008-05-06,,58500.0
2008-05-07,,58500.0
2008-05-08,,58500.0
2008-05-09,,58500.0
2008-05-12,,58500.0
2008-05-13,,58500.0
2008-05-14,,58500.0
2008-05-15,,58500.0
2008-05-16,,58500.0
2008-05-19,,58500.0
2008-05-20,,58500.0
2008-05-21,,58500.0
2008-05-22,,58500.0
2008-05-23,,58500.0
2008-05-26,,58500.0
2008-05-27,,58500.0
2008-05-28,,58500.0
2008-05-29,,58500.0
