date,open,high,low,close,volume,position,settle
2023-07-03,20125.0,20280.0,20080.0,20155.0,141350,106228,20185.0
2023-07-04,20100.0,20175.0,19945.0,20085.0,133403,104836,20065.0
2023-07-05,20145.0,20330.0,20065.0,20070.0,146442,106917,20225.0
2023-07-06,19950.0,20155.0,19900.0,20090.0,140680,106183,20010.0
2023-07-07,20090.0,20260.0,19955.0,19965.0,135097,105384,20160.0
2023-07-10,19955.0,20055.0,19865.0,19935.0,143954,111612,19940.0
2023-07-11,20015.0,20225.0,19985.0,20220.0,165127,109507,20140.0
2023-07-12,20140.0,20175.0,19925.0,20025.0,161716,104548,19995.0
2023-07-13,20150.0,20545.0,20115.0,20535.0,218759,105919,20355.0
2023-07-14,20615.0,20680.0,20390.0,20450.0,182687,93155,20565.0
2023-07-17,20500.0,20500.0,20180.0,20195.0,137139,86155,20330.0
2023-07-18,20145.0,20300.0,20060.0,20245.0,105759,78397,20190.0
2023-07-19,20080.0,20245.0,20075.0,20185.0,92153,74432,20165.0
2023-07-20,20210.0,20265.0,20100.0,20150.0,99598,69300,20185.0
2023-07-21,20200.0,20305.0,20030.0,20200.0,161769,113565,20150.0
2023-07-24,20120.0,20180.0,19975.0,20015.0,196246,114719,20065.0
2023-07-25,20115.0,20480.0,20090.0,20475.0,235654,129530,20300.0
2023-07-26,20520.0,20690.0,20425.0,20665.0,214416,129115,20560.0
2023-07-27,20660.0,20895.0,20530.0,20735.0,203852,126077,20735.0
2023-07-28,20685.0,20705.0,20425.0,20645.0,172187,118541,20575.0
2023-07-31,20680.0,20930.0,20680.0,20890.0,187753,118727,20805.0
2023-08-01,21090.0,21260.0,21035.0,21175.0,194412,113377,21150.0
2023-08-02,21090.0,21280.0,21005.0,21055.0,162808,109212,21130.0
2023-08-03,21030.0,21055.0,20800.0,20800.0,153378,106621,20895.0
2023-08-04,20785.0,21110.0,20755.0,20970.0,138858,106767,20970.0
2023-08-07,21025.0,21060.0,20820.0,20875.0,140320,102457,20935.0
2023-08-08,20935.0,21025.0,20820.0,20840.0,114342,99859,20900.0
2023-08-09,20585.0,20865.0,20530.0,20820.0,175139,92993,20695.0
2023-08-10,20785.0,20950.0,20755.0,20950.0,127252,92952,20875.0
2023-08-11,20850.0,20860.0,20625.0,20655.0,142818,92145,20720.0
2023-08-14,20540.0,20550.0,20330.0,20330.0,164344,92414,20445.0
2023-08-15,20220.0,20505.0,20180.0,20495.0,142313,86106,20340.0
2023-08-16,20220.0,20300.0,19870.0,19880.0,193037,89164,20100.0
2023-08-17,19920.0,20065.0,19805.0,19990.0,149424,82967,19930.0
2023-08-18,20070.0,20190.0,19885.0,19895.0,112724,76602,20060.0
2023-08-21,19895.0,20270.0,19895.0,20220.0,99704,66186,20110.0
2023-08-22,20030.0,20210.0,19985.0,20170.0,129813,104774,20075.0
2023-08-23,20195.0,20300.0,20110.0,20245.0,121409,102231,20205.0
2023-08-24,20250.0,20540.0,20250.0,20410.0,168479,100233,20410.0
2023-08-25,20460.0,20675.0,20440.0,20650.0,163951,105394,20545.0
2023-08-28,20660.0,20855.0,20520.0,20615.0,199337,103375,20670.0
2023-08-29,20655.0,20860.0,20620.0,20745.0,156158,107266,20745.0
2023-08-30,20790.0,20985.0,20725.0,20975.0,142326,108953,20880.0
2023-08-31,21005.0,21155.0,20890.0,20960.0,174337,110428,21000.0
2023-09-01,21000.0,21285.0,20860.0,21260.0,189295,109211,21085.0
2023-09-04,21370.0,21425.0,21120.0,21220.0,174973,105067,21265.0
2023-09-05,21290.0,21415.0,21075.0,21180.0,136188,105967,21220.0
2023-09-06,21240.0,21430.0,21220.0,21385.0,141852,105899,21320.0
2023-09-07,21335.0,21520.0,21235.0,21370.0,173869,107907,21355.0
2023-09-08,21355.0,21615.0,21230.0,21250.0,191168,106342,21420.0
2023-09-11,21190.0,21490.0,21050.0,21480.0,156204,106874,21275.0
2023-09-12,21500.0,21830.0,21470.0,21760.0,194434,112454,21720.0
2023-09-13,21710.0,21780.0,21475.0,21575.0,148971,107139,21630.0
2023-09-14,21600.0,21995.0,21600.0,21950.0,179281,110125,21820.0
2023-09-15,22100.0,22100.0,21795.0,21915.0,157087,104562,21955.0
2023-09-18,21875.0,21885.0,21685.0,21835.0,161722,95781,21780.0
2023-09-19,21835.0,21920.0,21655.0,21710.0,124410,89948,21785.0
2023-09-20,21785.0,21825.0,21500.0,21605.0,137680,77701,21645.0
2023-09-21,21765.0,21975.0,21645.0,21670.0,142702,71282,21805.0
2023-09-22,21545.0,22065.0,21515.0,22055.0,117332,65856,21845.0
2023-09-25,21900.0,21910.0,21565.0,21690.0,174892,125726,21725.0
2023-09-26,21765.0,22055.0,21675.0,21850.0,205985,132437,21840.0
2023-09-27,21830.0,21830.0,21475.0,21535.0,173144,121147,21590.0
2023-09-28,21520.0,21630.0,21395.0,21570.0,157547,109836,21505.0
2023-10-09,21580.0,21945.0,21580.0,21865.0,115789,119820,21865.0
2023-10-10,21750.0,21770.0,21180.0,21200.0,227883,108667,21455.0
2023-10-11,21220.0,21405.0,21175.0,21285.0,137427,105669,21295.0
2023-10-12,21250.0,21390.0,21155.0,21320.0,138583,101713,21275.0
2023-10-13,21245.0,21255.0,20980.0,21215.0,145398,97274,21125.0
2023-10-16,21215.0,21330.0,21075.0,21315.0,112604,91465,21205.0
2023-10-17,21295.0,21355.0,20835.0,20855.0,162048,84978,21015.0
2023-10-18,20830.0,21290.0,20805.0,21150.0,143195,80046,21115.0
2023-10-19,21165.0,21270.0,21005.0,21015.0,115243,76429,21120.0
2023-10-20,21030.0,21100.0,20820.0,20900.0,108156,71760,20980.0
2023-10-23,20975.0,21115.0,20795.0,20845.0,110288,66197,20935.0
2023-10-24,20850.0,21115.0,20850.0,21085.0,115697,58597,21020.0
2023-10-25,21085.0,21300.0,20950.0,21240.0,89157,48632,21150.0
2023-10-26,21180.0,21230.0,20995.0,21105.0,118419,81507,21105.0
2023-10-27,20990.0,21085.0,20885.0,21080.0,144756,79796,20970.0
2023-10-30,21145.0,21335.0,21105.0,21300.0,145492,84308,21270.0
2023-10-31,21305.0,21360.0,21025.0,21160.0,137186,79675,21160.0
2023-11-01,21085.0,21100.0,20875.0,20925.0,129469,81919,20980.0
2023-11-02,21200.0,21620.0,21200.0,21530.0,271142,93386,21465.0
2023-11-03,21555.0,21580.0,21295.0,21455.0,146061,87839,21420.0
2023-11-06,21500.0,21525.0,21310.0,21435.0,114622,85183,21410.0
2023-11-07,21680.0,21780.0,21520.0,21520.0,135220,88960,21650.0
2023-11-08,21515.0,21750.0,21445.0,21750.0,121844,91050,21630.0
2023-11-09,21845.0,21855.0,21635.0,21715.0,113471,92241,21725.0
2023-11-10,21650.0,21725.0,21560.0,21670.0,99719,88459,21635.0
2023-11-13,21665.0,21695.0,21450.0,21600.0,125295,81808,21565.0
2023-11-14,21480.0,21705.0,21450.0,21645.0,99463,79463,21580.0
2023-11-15,21620.0,21925.0,21620.0,21880.0,130359,88066,21810.0
2023-11-16,22010.0,22040.0,21565.0,21640.0,139647,78183,21775.0
2023-11-17,21545.0,21555.0,21340.0,21430.0,144448,66580,21445.0
2023-11-20,21370.0,21455.0,21290.0,21405.0,99359,56882,21375.0
2023-11-21,21370.0,21520.0,21175.0,21180.0,138677,86262,21350.0
2023-11-22,21155.0,21205.0,20875.0,20920.0,148349,92464,21055.0
2023-11-23,20920.0,21005.0,20825.0,20935.0,139959,93632,20905.0
2023-11-24,20935.0,21100.0,20880.0,21080.0,120428,89859,21010.0
2023-11-27,21100.0,21215.0,21005.0,21190.0,121072,83965,21115.0
2023-11-28,21210.0,21210.0,21075.0,21175.0,127389,82540,21145.0
2023-11-29,21140.0,21240.0,20910.0,20920.0,139203,86859,21065.0
2023-11-30,20915.0,20935.0,20675.0,20765.0,149665,93022,20800.0
2023-12-01,20720.0,20840.0,20615.0,20620.0,94857,92231,20720.0
2023-12-04,20750.0,20965.0,20720.0,20760.0,92080,86315,20840.0
2023-12-05,20680.0,20745.0,20310.0,20410.0,109863,93900,20530.0
2023-12-06,20410.0,20710.0,20360.0,20695.0,99492,88267,20535.0
2023-12-07,20640.0,20690.0,20425.0,20685.0,90024,86564,20565.0
2023-12-08,20625.0,20775.0,20505.0,20725.0,97587,85861,20630.0
2023-12-11,20725.0,20800.0,20430.0,20640.0,90834,83613,20605.0
