date,f_stock_pct20,f_wh_basis,f_wh_basis_x_stockpct,f_oprate_pct20,f_prod_pct20,f_cell_pct20,close,target_fwd
2023-07-21,,72900.0,,,,,215100.0,-0.09426470140277193
2023-07-24,,74100.0,,,,,211400.0,-0.04970117504033999
2023-07-25,,58100.0,,,,,225900.0,-0.1303113879482073
2023-07-26,,54200.0,,,,,227800.0,-0.13015068446504513
2023-07-27,,55600.0,,,,,224900.0,-0.12009228061385431
2023-07-28,,50600.0,,,,,227900.0,-0.15976094700388174
2023-07-31,,49450.0,,,,,228050.0,-0.2065100211102196
2023-08-01,,45600.0,,,,,228400.0,-0.20347185185658778
2023-08-02,,40450.0,,,,,228550.0,-0.20547084112954836
2023-08-03,,36350.0,,,,,229650.0,-0.2062502548403095
2023-08-04,,33550.0,,,,,228950.0,-0.20373281509017777
2023-08-07,,36700.0,,,,,219800.0,-0.1462204241512808
2023-08-08,,36000.0,,,,,217000.0,-0.13050766061584654
2023-08-09,,31200.0,,,,,217800.0,-0.1336625831789909
2023-08-10,,36500.0,,,,,210500.0,-0.1307527659172419
2023-08-11,,35200.0,,,,,208800.0,-0.16805597963513222
2023-08-14,,42750.0,,,,,196750.0,-0.0965053028280938
2023-08-15,,39500.0,,,,,194500.0,-0.09005409437515074
2023-08-16,,33750.0,,,,,196250.0,-0.10862131106145624
2023-08-17,,32500.0,,,,,194000.0,-0.13707226383661064
2023-08-18,,29250.0,,,,,195750.0,-0.14045183546909645
2023-08-21,,23850.0,,,,,201150.0,-0.18515928552968966
2023-08-22,,26700.0,,,,,198300.0,-0.21836426916963567
2023-08-23,,25000.0,,,,,200000.0,-0.26039121221587724
2023-08-24,,25550.0,,,,,199450.0,-0.22070231195588863
2023-08-25,,28750.0,,-0.09136032263068095,-0.03412477170047101,,194250.0,-0.2183289055186692
2023-08-28,,34500.0,,-0.09136032263068095,-0.03412477170047101,,185500.0,-0.1557242442746888
2023-08-29,,28150.0,,-0.09136032263068095,-0.03412477170047101,,186350.0,-0.22300940415457476
2023-08-30,,24400.0,,-0.09136032263068095,-0.03412477170047101,,186100.0,-0.2260359624384362
2023-08-31,,21150.0,,-0.09136032263068095,-0.03412477170047101,,186850.0,-0.21967086183523712
2023-09-01,,18750.0,,-0.05173271430940152,-0.05171080610864098,,186750.0,-0.20654841441119953
2023-09-04,,15600.0,,-0.05173271430940152,-0.05171080610864098,,189900.0,-0.22327520821651303
2023-09-05,,12550.0,,-0.05173271430940152,-0.05171080610864098,,190450.0,-0.20017491686088223
2023-09-06,,9950.0,,-0.05173271430940152,-0.05171080610864098,,190550.0,-0.14427222964527875
2023-09-07,,14300.0,,-0.05173271430940152,-0.05171080610864098,,184700.0,-0.08146494217557254
2023-09-08,,21000.0,,-0.14556445025322662,-0.08980952380952378,,176500.0,-0.044014052559597124
2023-09-11,,15350.0,,-0.14556445025322662,-0.08980952380952378,,178650.0,-0.05464268924270133
2023-09-12,,13250.0,,-0.14556445025322662,-0.08980952380952378,,177750.0,-0.06899287148695143
2023-09-13,,12950.0,,-0.14556445025322662,-0.08980952380952378,,176050.0,-0.09903765214499487
2023-09-14,,19350.0,,-0.14556445025322662,-0.08980952380952378,,169150.0,-0.10723437586391539
2023-09-15,,15400.0,,-0.2050467914438503,-0.15323916220165612,,170100.0,-0.12043204382796036
2023-09-18,,15850.0,,-0.2050467914438503,-0.15323916220165612,,167150.0,-0.07546649594686099
2023-09-19,,20600.0,,-0.2050467914438503,-0.15323916220165612,,159400.0,-0.05446811020326688
2023-09-20,,22350.0,,-0.2050467914438503,-0.15323916220165612,,154150.0,-0.019653433106692316
2023-09-21,,13550.0,,-0.2050467914438503,-0.15323916220165612,,159950.0,-0.03758404135285003
2023-09-22,,15850.0,,-0.19716626835097295,-0.14460589171974525,,156150.0,0.004472850907599529
2023-09-25,,12250.0,,-0.19716626835097295,-0.14460589171974525,,158750.0,-0.03200273108617384
2023-09-26,,20900.0,,-0.19716626835097295,-0.14460589171974525,,149100.0,0.03233538064293645
2023-09-27,,20550.0,,-0.19716626835097295,-0.14460589171974525,,148450.0,0.026260442042777048
2023-09-28,,19000.0,,-0.19716626835097295,-0.14460589171974525,,150000.0,0.009290046907092734
2023-10-09,,17100.0,,-0.17765343591536975,-0.12394251350524921,,151900.0,-0.031769934922245426
2023-10-10,,17100.0,,-0.17765343591536975,-0.12394251350524921,,151900.0,-0.06352959424304619
2023-10-11,,13100.0,,-0.17765343591536975,-0.12394251350524921,,155900.0,-0.07007014905884588
2023-10-12,,4550.0,,-0.17765343591536975,-0.12394251350524921,,164950.0,-0.13478797359017924
2023-10-13,,250.0,,-0.2650813079209652,-0.15961675670166142,,170250.0,-0.13399300533965844
2023-10-16,,4100.0,,-0.1963671128107074,-0.13728157371560112,,168900.0,-0.17594759753722877
2023-10-17,,3850.0,,-0.1963671128107074,-0.13728157371560112,,169150.0,-0.1710930798680365
2023-10-18,,7600.0,,-0.1963671128107074,-0.13728157371560112,,165900.0,-0.15134168921620328
2023-10-19,,14050.0,,-0.1963671128107074,-0.13728157371560112,,159450.0,-0.12367997455143204
2023-10-20,,20550.0,,-0.17820267686424474,-0.11792403473893476,,151950.0,-0.09629783420559736
2023-10-23,,20200.0,,-0.0964893840655876,-0.03014265991716525,,150800.0,-0.09451474028207081
2023-10-24,,15000.0,,-0.0964893840655876,-0.03014265991716525,,155000.0,-0.15835304579833664
2023-10-25,,18050.0,,-0.0964893840655876,-0.03014265991716525,,150950.0,-0.1910378034668571
2023-10-26,,16850.0,,-0.0964893840655876,-0.03014265991716525,,151150.0,-0.19156026529013975
2023-10-27,,12950.0,,-0.00042043304603744946,0.07305568338702262,,154050.0,-0.21659251490486686
2023-10-30,,9150.0,,0.011056772273017046,0.08516579406631752,,156850.0,-0.29611193616924825
2023-10-31,,11250.0,,0.011056772273017046,0.08516579406631752,,153750.0,-0.30617174091754473
2023-11-01,,10000.0,,0.011056772273017046,0.08516579406631752,,154000.0,-0.3378368035830099
2023-11-02,,10600.0,,0.011056772273017046,0.08516579406631752,,152400.0,-0.36118453444470744
2023-11-03,,10100.0,,0.011056772273017046,0.08516579406631752,,151400.0,-0.397406516680644
2023-11-06,,12850.0,,0.011056772273017046,0.08516579406631752,,147150.0,-0.4234650798191063
2023-11-07,,15950.0,,0.011056772273017046,0.08516579406631752,,142550.0,-0.42655583227042115
2023-11-08,,11150.0,,0.011056772273017046,0.08516579406631752,,145350.0,-0.45247666917175117
2023-11-09,,10850.0,,0.03423346799914939,0.16974985456660852,,144150.0,-0.41068160402705567
2023-11-10,,4100.0,,0.15726861765405653,0.2194057004244998,,148900.0,-0.37536526673238246
2023-11-13,,10350.0,,0.15726861765405653,0.2194057004244998,,141650.0,-0.3807122319939943
2023-11-14,,7450.0,,0.15726861765405653,0.2194057004244998,,142550.0,-0.4260186310756596
2023-11-15,,5900.0,,0.15726861765405653,0.2194057004244998,,142600.0,-0.3199889201386024
2023-11-16,,6600.0,,0.15726861765405653,0.2194057004244998,,140900.0,-0.31769993438624494
2023-11-17,,9000.0,,0.09585853885528173,0.15480427046263334,,138000.0,-0.2771101335263822
2023-11-20,,9300.0,,0.09585853885528173,0.15480427046263334,,137200.0,-0.2891408619154409
2023-11-21,,11700.0,,0.09585853885528173,0.15480427046263334,,132300.0,-0.2610801308922308
2023-11-22,,17300.0,,0.09585853885528173,0.15480427046263334,,124700.0,-0.21277249704872253
2023-11-23,,14700.0,,0.09585853885528173,0.15480427046263334,,124800.0,-0.24583496251628048
2023-11-24,,13950.0,,-0.02902208201892731,0.0230513562774739,,124050.0,-0.20754635450054174
2023-11-27,,18850.0,,-0.02902208201892731,0.0230513562774739,,116650.0,-0.12590638236847285
2023-11-28,,20300.0,,-0.02902208201892731,0.0230513562774739,,113200.0,-0.05539318831537953
2023-11-29,,22150.0,,-0.02902208201892731,0.0230513562774739,,109850.0,-0.03851090595442727
2023-11-30,,24800.0,,-0.02902208201892731,0.0230513562774739,,106200.0,0.0032902497367877765
2023-12-01,,28250.0,,-0.08580441640378544,-0.036774954433365536,,101750.0,0.05683075983963854
2023-12-04,,31650.0,,-0.08580441640378544,-0.036774954433365536,,96350.0,0.11737933312199274
2023-12-05,,32950.0,,-0.08580441640378544,-0.036774954433365536,,93050.0,0.1359465286434844
2023-12-06,,30050.0,,-0.08580441640378544,-0.036774954433365536,,92450.0,0.08299213342780948
