组别,策略,mean_ic,n_valid,accuracy,ann_ret,sharpe,max_dd
固定多头,始终做多,,740,0.4175675675675676,-0.11319364505963525,-1.1107732405780888,-0.7227473764144097
基准:库存20日环比,单独基准因子,-0.25745,598,0.5451505016722408,0.23383424386239615,2.8432520330158266,-0.2862085770802394
单因子:仓单基差×仓单增速,单独新因子,0.107401,591,0.5126903553299492,0.17215039446104785,2.167782089645379,-0.164305260262678
单因子:动力电池20日环比,单独新因子,-0.288753,347,0.547550432276657,0.11573236054394509,2.120690235183354,-0.2618023362559918
叠加:新因子+基准,基准+新因子等权线性,,495,0.5575757575757576,0.17507756771112848,3.583370319371579,-0.0918457168497582
