date,f_stock_pct20,f_wh_basis,f_wh_basis_x_stockpct,f_oprate_pct20,f_prod_pct20,f_cell_pct20,close,target_fwd,combo_signal,combo_abs,q_med,q_strong,ret20,q_ret20,signal_dir,open_trigger,position_size,position
2023-07-21,,72900.0,,,,,215100.0,-0.0942647014027719,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-07-24,,74100.0,,,,,211400.0,-0.0497011750403399,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-07-25,,58100.0,,,,,225900.0,-0.1303113879482073,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-07-26,,54200.0,,,,,227800.0,-0.1301506844650451,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-07-27,,55600.0,,,,,224900.0,-0.1200922806138543,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-07-28,,50600.0,,,,,227900.0,-0.1597609470038817,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-07-31,,49450.0,,,,,228050.0,-0.2065100211102196,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-01,,45600.0,,,,,228400.0,-0.2034718518565877,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-02,,40450.0,,,,,228550.0,-0.2054708411295483,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-03,,36350.0,,,,,229650.0,-0.2062502548403095,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-04,,33550.0,,,,,228950.0,-0.2037328150901777,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-07,,36700.0,,,,,219800.0,-0.1462204241512808,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-08,,36000.0,,,,,217000.0,-0.1305076606158465,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-09,,31200.0,,,,,217800.0,-0.1336625831789909,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-10,,36500.0,,,,,210500.0,-0.1307527659172419,0.0,0.0,,,,,0.0,False,0.0,0.0
2023-08-11,,35200.0,,,,,208800.0,-0.1680559796351322,0.0,0.0,,,,,0.0,False,0.0,0.0
