剔除端点,样本数,窗口数,mean_ic,std_ic,方向维持
0,397,10,-0.10075608465693578,0.24624085764030756,True
1,395,10,-0.0962631259571829,0.24615388129318796,True
2,393,10,-0.09269763821029596,0.246458348341281,True
3,391,10,-0.09013731239532766,0.24641831690667415,True
