子区间,策略,n_valid,accuracy,ann_ret,sharpe,max_dd
全样本,单库存基准,596,0.5503355704697986,0.24175306444476408,2.936932533315974,-0.271855080550716
全样本,三因子叠加(等权),492,0.5609756097560976,0.17617302811519253,3.6158178326393604,-0.091277567570824
下跌子区间(20日<-5%),单库存基准,209,0.44976076555023925,-0.14191763988278605,-3.2099203133771446,-0.2390061967003013
下跌子区间(20日<-5%),三因子叠加(等权),158,0.4810126582278481,-0.027406935316699355,-1.4379772238645427,-0.06677738474581155
震荡子区间(|20日|<5%),单库存基准,204,0.5441176470588235,0.1563801996815002,2.2923352518939186,-0.11772539442175986
震荡子区间(|20日|<5%),三因子叠加(等权),160,0.53125,0.03526157459008661,1.1415570465461298,-0.03627130545021599
