noise_seed,n_trades,total_return,annual_return,sharpe_full,max_drawdown,calmar,win_rate,pl_ratio,avg_hold_days
1,40,-0.047827871922250687,-0.019321041938673345,0.06685681602991257,-0.38781809319404764,-0.04981985698384092,0.425,0.918465451115239,2.075
2,42,-0.15672196859842524,-0.06560657954352156,-0.12470572426231277,-0.38675510507521654,-0.1696333899219309,0.5476190476190477,0.6822708610095276,1.7380952380952381
3,41,-0.48087374810932704,-0.22971177172562252,-0.8170465849543143,-0.5332436769919546,-0.4307819888675179,0.4878048780487805,0.658274384364732,1.8048780487804879
4,41,0.9357324629271768,0.30073857884554656,1.1293319724097939,-0.25952061786613684,1.1588234542531428,0.6341463414634146,0.5968072010811917,1.9024390243902438
5,41,0.23256296833145473,0.08680124079827123,0.44416592763232216,-0.36393692422549956,0.23850627683078446,0.4146341463414634,1.4973224130536835,1.9268292682926829
6,41,-0.3056692906482753,-0.13517290218972955,-0.4050354006553012,-0.5257278170467461,-0.25711575040685053,0.43902439024390244,0.8378815083394664,1.9268292682926829
7,41,-0.25334292875948683,-0.1097931811663223,-0.29698341680028867,-0.40386997887013604,-0.27185279151839653,0.3902439024390244,0.7449744820224548,1.975609756097561
8,41,0.5420966191042123,0.18818806340360617,0.7688314526348096,-0.28722260387252263,0.6551993501428225,0.5609756097560976,1.6126420482245687,1.951219512195122
9,39,-0.04558257713483771,-0.018401106826555935,0.06932417783235569,-0.49279728517689186,-0.037340114038880656,0.5897435897435898,1.3559421828247333,2.0256410256410255
10,41,0.00297646981281674,0.0011838406712314509,0.13115391686730068,-0.320617074092487,0.003692381868876869,0.5121951219512195,0.9345627415420152,1.8048780487804879
11,38,1.1042091168182644,0.3446776665823892,1.2224179986042683,-0.30930656223239006,1.1143561394065216,0.5,1.6224638543231356,2.263157894736842
12,39,-0.3604208318835801,-0.1629938934075329,-0.526212904451112,-0.45323395663919097,-0.35962418750828185,0.4358974358974359,0.9110086145750856,2.076923076923077
13,41,-0.5277243529414035,-0.2581761756909884,-0.9840635087284956,-0.5869602854246755,-0.439852886305917,0.4146341463414634,0.5920637762355617,1.9024390243902438
14,40,-0.7754357427320491,-0.4482075807045277,-2.0628649128030125,-0.7913454237596773,-0.5663867727636513,0.5,0.4237375595895819,2.025
15,39,0.03653622877041984,0.014387794911481233,0.18859350726389906,-0.27543792861915123,0.05223606996905381,0.5384615384615384,0.5921039446550281,2.051282051282051
16,40,-0.6102503755024633,-0.3127793193484004,-1.3231065228793406,-0.6403140696894759,-0.48847797378571517,0.375,0.5806348010158938,2.025
17,38,-0.432139933060532,-0.20169999080333811,-0.6883562641813759,-0.4789732868076696,-0.4211090604815508,0.47368421052631576,1.1091418568241518,2.1842105263157894
18,42,-0.24182380242578283,-0.10435109981480761,-0.28527982236862476,-0.443144753997723,-0.23547858543608935,0.4523809523809524,1.4608627044120601,1.9047619047619047
19,42,-0.22719245892145667,-0.0975099615776217,-0.2581309324286971,-0.4338033260932506,-0.2247791930407212,0.4523809523809524,0.3818729970665976,1.8095238095238095
20,37,0.12733834915454123,0.04887140498845444,0.3113080755809261,-0.4592211889688442,0.10642236500060565,0.4864864864864865,1.4189139921742446,2.4054054054054053
21,37,-0.45254819689584636,-0.2132471365993458,-0.7195401952483791,-0.5415634340250627,-0.3937620659032106,0.5675675675675675,0.9497541466363818,2.324324324324324
22,42,0.7755503007164668,0.2567727618856086,0.9841920408041458,-0.34527720144736046,0.7436713481493945,0.5,0.555743681802328,1.8095238095238095
23,42,-0.4929557300669688,-0.23689911317768475,-0.8888890333531363,-0.5375586905565815,-0.4406944159574509,0.47619047619047616,1.1196356605977178,1.7142857142857142
24,42,-0.237145175174459,-0.10215495078576664,-0.2758183132489984,-0.403514243367636,-0.2531631843604954,0.5714285714285714,0.9941441121700294,1.6904761904761905
25,40,-0.2129797711542526,-0.09093882243057172,-0.21500544628246887,-0.5464284630983945,-0.16642402175560994,0.475,0.6626354325366282,2.075
26,40,-0.4306086140734925,-0.20084370500643745,-0.7161001560284534,-0.44886255146228304,-0.44745034833522734,0.45,0.6021495770497958,1.975
27,39,-0.2926788271950588,-0.12876759568327312,-0.37073777077095316,-0.42681038303515817,-0.3016974300568175,0.46153846153846156,1.5466621523967932,2.1025641025641026
28,40,-0.36849569319617925,-0.1672167658698004,-0.5287017980565126,-0.4015464418290673,-0.4164319452268543,0.4,1.9263394164060965,2.0
29,41,0.3108650687405272,0.11377781536024689,0.5361187186063858,-0.2518748233730021,0.4517236531884452,0.5121951219512195,1.5396535098109112,1.853658536585366
30,42,-0.023337278935459338,-0.00935639408111577,0.09596314665084756,-0.20688428602401865,-0.04522525253575577,0.47619047619047616,1.2832246243633836,1.9047619047619047
